study_accession	fetch_status	n_samples	children
PRJNA718322	OK	30	
PRJNA526405	OK	921	
PRJNA356809	OK	77	
PRJNA1222153	OK	493	
PRJNA723218	OK	144	
PRJNA874173	OK	9	
PRJNA1119043	OK	91	
PRJNA821230	OK	16	
PRJNA827933	OK	9	
PRJNA772288	OK	4	
PRJNA983744	OK	18	
PRJNA549182	OK	48	
PRJNA723631	OK	27	
PRJNA1083038	OK	55	
PRJNA902684	OK	110	
PRJNA1110045	OK	1	
PRJNA812273	OK	1	
PRJNA728091	OK	7	
PRJDB9649	OK	88	
PRJNA626062	OK	54	
PRJNA552411	OK	2	
PRJNA741607	OK	59	
PRJNA984595	OK	92	
PRJDB7767	OK	118	
PRJEB40824	OK	6	
PRJNA913689	OK	63	
PRJEB51353	OK	9819	
PRJDB17226	OK	10	
PRJEB52754	OK	68	
PRJEB24041	OK	212	
PRJEB15341	OK	6	
PRJNA1137132	OK	36	
PRJNA974094	OK	18	
PRJEB18805	OK	395	
PRJNA825520	OK	159	
PRJEB66439	OK	472	
PRJEB22765	OK	20	
PRJNA1187897	OK	119	
PRJDB38938	OK	18	
PRJNA844237	OK	40	
PRJNA321058	OK	53	
PRJNA1391520	OK	24	
PRJNA814825	OK	15	
PRJDB1461	OK	1	
PRJNA376580	OK	39	
PRJNA313232	OK	14	
PRJNA821641	OK	77	
PRJNA730677	OK	70	
PRJNA531273	OK	30	
PRJEB14935	OK	3	
PRJDB16698	OK	6	
PRJNA988937	OK	35	
PRJNA389280	OK	378	
PRJEB4336	OK	292	
PRJEB23010	OK	205	
PRJNA1049649	OK	6	
PRJNA1112422	OK	6	
PRJNA1247471	OK	44	
PRJNA657304	OK	21	
PRJNA1245063	OK	12	
PRJEB30834	OK	267	
PRJNA435487	OK	10	
PRJNA1175391	OK	12	
PRJNA593263	OK	30	
PRJNA1375668	OK	24	
PRJNA1193062	OK	323	
PRJNA1082665	OK	873	
PRJEB89830	OK	38	
PRJEB81106	OK	794	
PRJNA908260	OK	8	
PRJNA601162	OK	62	
PRJNA1242249	OK	24	
PRJNA1218713	OK	172	
PRJNA737271	OK	40	
PRJNA894152	OK	82	
PRJNA453374	OK	28	
PRJEB88329	OK	171	
PRJNA944612	OK	720	
PRJNA878467	OK	1	
PRJDB6620	OK	25	
PRJNA777737	OK	26	
PRJNA953833	OK	369	
PRJNA940065	OK	14	
PRJEB9357	OK	88	
PRJNA1173401	OK	6	
PRJNA1012496	OK	12	
PRJNA777422	OK	16	
PRJEB96078	OK	192	
PRJEB39500	OK	203	
PRJEB60080	OK	6	
PRJNA1187854	OK	20	
PRJNA385949	OK	262	
PRJEB38095	OK	513	
PRJNA290380	OK	785	
PRJNA1064611	OK	8	
PRJEB39110	OK	70	
PRJNA945347	OK	36	
PRJDB15956	OK	167	
PRJEB90470	OK	6	
PRJNA543206	OK	50	
PRJEB64334	OK	1292	
PRJNA1417531	OK	2	
PRJNA779845	OK	80	
PRJNA843963	OK	263	
PRJNA734860	OK	343	
PRJNA290729	OK	92	
PRJNA630144	OK	12	
PRJNA1069876	OK	16	
PRJNA311136	OK	1	
PRJNA723283	OK	65	
PRJNA983076	OK	67	
PRJNA741980	OK	28	
PRJNA562600	OK	148	
PRJNA748109	OK	5	
PRJEB103086	OK	25	
PRJNA796172	OK	48	
PRJEB81554	OK	476	
