study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid
PRJNA935053	Chanodichthys erythropterus	933992		South Korea: Estuary of the Nakdong	1	WGS	ena_only	
PRJNA656389	Bubalus bubalis	89462			695	WGS	pubmed	39505912
PRJEB58265	Crocidura russula			Spain	110	WGS	pubmed	37650630
PRJEB7774				Austria	156	WGS	pubmed	35440042
PRJNA574033	Homo sapiens	56798		Italy	2	WGA	pubmed	31698863
PRJNA1180741	Sus scrofa vittatus	2485929		Singapore: Lorong Halus	178	AMPLICON	pubmed	41928361
PRJNA322188	Homo sapiens	9606		USA	1000	AMPLICON	pubmed	38882494
PRJNA564888	Tupaia glis	9395		Singapore	13	WGS	pubmed	31697678
PRJNA293646	Bos	9903		China:Beijing	13	WGS	ena_only	
PRJEB79635	bird metagenome			United Kingdom	5	WGS	pubmed	40302838
PRJEB70928	Macaca mulatta			Netherlands	129	WGS	pubmed	40275402
PRJEB60545	Salmo salar	8030			48	AMPLICON	pubmed	41700855
PRJNA997708	missing'			China:zhengzhou	9	AMPLICON	pubmed	38349151
PRJNA1046219	feces			China: Jiaxing	8	WGS	ena_only	
PRJNA772302	Danio rerio	7955		USA	8	RNA-Seq	pubmed	37304849
PRJNA525682	Mus musculus				15	AMPLICON	pubmed	31061496
PRJNA495010	Sus scrofa	9823		China: Henan	3	WGS	ena_only	
PRJNA1170529	Sus scrofa domesticus	9825		Poland: Olsztyn	30	RNA-Seq	pubmed	39779716
PRJEB55711				China	44	WGS	pubmed	36713446
PRJNA915251	Homo sapiens	9606		United Kingdom: Bath	683	WGS	ena_only	
PRJEB5224				Spain	260	WGS	pubmed	37398234
PRJEB102170				Latvia	71	WGS	ena_only	
PRJNA1035647	Bos taurus indicus			Pakistan: Okara, Punjab	12	AMPLICON	pubmed	38575861
PRJEB47836	Myotis capaccinii				96	AMPLICON	pubmed	34711286
PRJNA590585	plateau pika01			China:Qinghai,Gangcha	12	WGA	pubmed	33369229
PRJNA728379	feces metagenome			China:Fujian	14	WGS	ena_only	
PRJNA738554	C57BL/6 mouse			China:Beijing	24	WGS	ena_only	
PRJNA1000186	Homo sapiens	9606		Canada:Alberta,Edmonton	413	AMPLICON	pubmed	39244633
PRJNA1268041	Sus scrofa	9823		China:Nanning	16	WGS	ena_only	
PRJNA721002	feces metagenome			China:Guangdong,Guangzhou	51	WGS	pubmed	38868570
PRJDB36556	Corvus macrorhynchos	36249		missing: data agreement established pre-2023	7	WGS	ena_only	
PRJNA1060362	fish gut metagenome			China	1	WGS	ena_only	
PRJDB15857	Mus musculus	10090		Japan:Shizuoka, Mishima, National Institute of Genetics, Animal Research Building	80	WGS	ena_only	
PRJNA1247133	mice				10	AMPLICON	pubmed	40977701
PRJNA740243	Homo sapiens	9606		Italy: Milan	281	AMPLICON	pubmed	36288294
PRJNA558220	Mus musculus	10090		Spain:Oviedo	26	RNA-Seq	pubmed	35002754
PRJEB61541	Sus scrofa				69	OTHER	pubmed	37280708
PRJNA1136021	Mus musculus	10090		USA:TX	60	AMPLICON	pubmed	39269772
PRJEB72437				Germany	8	WGS	ena_only	
PRJNA1211300	Homo sapiens	9606		China: Shenzhen	17	WGS	pubmed	41005300
PRJDB39230	Equus hemionus	9794		missing: data agreement established pre-2023	19	WGS	ena_only	
PRJNA1188079	cow			China:Shanxi	848	AMPLICON	pubmed	40671160
PRJEB61039					115	AMPLICON	ena_only	
PRJNA773596	Homo sapiens	9606		China:Hohhot	83	WGS	ena_only	
PRJDB3601	Homo sapiens	9606			255	WGS	ena_only	
PRJNA973216	BALB/c mice			China:Hunan,Changsha	12	AMPLICON	pubmed	38441977
PRJEB22710					52	WGS	ena_only	
PRJNA601052	Leghorn chicken			USA: Wooster, Ohio	130	WGS	ena_only	
PRJEB76409	Mus musculus			USA;USA:CA	32	WGS	ena_only	
PRJNA844176	Sus scrofa	9823		China: Sichuan	15	WGS	ena_only	
PRJEB26961	Sus scrofa domesticus	9825		Denmark	220	WGS	ena_only	
PRJEB40990	Salmo salar	8030		Norway	16	WGS	pubmed	33990699
PRJNA590350	missing			missing	58	AMPLICON	pubmed	31880067
PRJNA1104620	Equus caballus	9796		Canada: Sable Island, Nova Scotia	95	AMPLICON	pubmed	39039075
PRJNA1179404	Sus scrofa	9823		China	8	RNA-Seq	pubmed	40565336
PRJNA1135945	Homo sapiens	9606		China:Nanchang	157	WGS	pubmed	41439481
PRJNA1119245	Jinhua sow			missing	18	AMPLICON	pubmed	40400039
PRJNA998458	Lynx rufus			USA: Jacksonville Zoological Gardens, Jacksonville, Florida.	3	WGS	ena_only	
PRJNA996880	mouse_1;mouse 1			China: Beijing	419	WGS	ena_only	
PRJDB15258	feces metagenome			Japan:Fukui, Mikatakaminaka-gun, Wakasa-cho, Torihama shell mound ruins	4	WGS	ena_only	
PRJNA731973	Gallus gallus	9031		China: Pingliang	12	WGS	pubmed	38780275
PRJEB14215				Italy	73	WGS	pubmed	33962692
PRJDB8879	Homo sapiens	9606		South Korea	100	AMPLICON	ena_only	
PRJEB12449				USA	110	WGS	pubmed	35440042
PRJNA757473	mouse			China: Shanghai	24	AMPLICON	pubmed	38647315
PRJEB14699					367	WGS	ena_only	
PRJEB51635			human-gut	Denmark	148	WGS	ena_only	
PRJNA877780	Mus musculus feces			China:luoyang	15	WGS	ena_only	
PRJNA613182	Mus musculus	10090			90	WGS	pubmed	35262396
PRJNA720618	piglet			China:wuhan	6	AMPLICON	pubmed	34277753
PRJNA1062568	feces metagenome			China:Qingdao	10	WGS	ena_only	
PRJNA1108021	Gallus gallus domesticus			Canada: Alberta	140	AMPLICON	pubmed	41451983
PRJDB36905	Homo sapiens			missing: data agreement established pre-2023	42	WGS	ena_only	
PRJNA397112	Homo sapiens	9606		India:Kasaragod	110	WGS	pubmed	30698687
PRJNA1027632	Gallus gallus subsp domesticus			United Kingdom	197	WGS	ena_only	
PRJNA884819	Cervus elaphus				6	AMPLICON	pubmed	38229330
PRJNA1289129	Rattus norvegicus	10116		Turkey: Eastern Anatolia Region	4	WGS	pubmed	41714980
PRJEB34270	fish gut metagenome				8	WGS	ena_only	
PRJNA770101	Homo sapiens	9606		China:Huhhot	71	WGS	ena_only	
PRJNA1063604	Rattus norvegicus			missing	14	RNA-Seq	pubmed	41676120
PRJNA913183	Homo sapiens	9606		USA: Orlando	119	WGS	ena_only	
PRJNA577063	Oreochromis niloticus	8128		Colombia: Llanos and Atlantic	4	WGS	pubmed	35889095
PRJNA1069864	Lacticaseibacillus rhamnosus			China:Ningbo	1	AMPLICON	pubmed	40558396
PRJNA532645	Homo sapiens	9606		Israel	204	AMPLICON	pubmed	39947133
PRJNA542998	mice			China	201	WGS	pubmed	33382948
PRJNA881338	Homo sapiens	9606		Nepal	34	OTHER	pubmed	40204742
PRJNA599288	missing			China:Hangzhou	12	WGS	pubmed	35499050
PRJEB55713				South Korea	55	WGS	ena_only	
PRJNA673878	Gallus gallus	9031		Poland: Wroclaw	5	WGS	ena_only	
PRJEB76659	Phoca vitulina			Netherlands	30	WGS	pubmed	40702575
PRJNA847183	Homo sapiens	9606		Belgium:Ghent,L1B	24	WGS	ena_only	
PRJNA576784	Panthera tigris altaica	74533		missing	35	AMPLICON	pubmed	32793154
PRJNA1217868	Sus scrofa	9823		USA: North Carolina, Raleigh	24	WGS	ena_only	
PRJNA798875	broiler			China:Jiaxing	2	WGS	ena_only	
PRJEB67586				Denmark	167	WGS	ena_only	
PRJEB101960				Latvia	107	WGS	ena_only	
PRJNA1402480					12	RNA-Seq	pubmed	41925227
PRJEB58157			human-gut	France	270	WGS	ena_only	
PRJNA354635	Mus musculus	10090		USA: Ann Arbor	4	RNA-Seq	pubmed	29950381
PRJNA985145	Sus scrofa	9823		China: Guangdong	235	AMPLICON	pubmed	37957747
PRJEB38953	Oncorhynchus mykiss				22	AMPLICON	pubmed	33389354
PRJNA974556	Mus musculus	10090		Hong Kong	52	WGS	ena_only	
PRJNA883557	Rattus norvegicus	10116		China: Zunyi	20	WGS	pubmed	36824263
PRJNA1199800	Canis lupus familiaris				30	WGS	pubmed	40702553
PRJNA400072	Homo sapiens	9606		USA	220	WGS	pubmed	31316056
PRJNA792486	Black goat			China:Hainan	45	WGS	ena_only	
PRJNA1030210	Bos taurus	9913		United Kingdom	35	AMPLICON	ena_only	
PRJDB36557	Corvus macrorhynchos	36249		missing: data agreement established pre-2023	7	WGS	ena_only	
PRJEB33338					25	WGS	pubmed	33868800
PRJNA267179	Petaurista alborufus lena			Taiwan: Alishan National Scenic Area	1	RNA-Seq	pubmed	29354108
PRJEB42631	Bos taurus				110	OTHER	pubmed	38217406
PRJNA416199	mudskipper1			missing	12	WGS	ena_only	
PRJEB46788					1000	WGS	ena_only	
PRJEB33396	pig metagenome				280	AMPLICON	pubmed	34454628
PRJNA312048	Sus scrofa	9823		China: Nanchang	6	WGS	ena_only	
PRJNA627251	Bos taurus	9913		USA: Nebraska	16	WGS	pubmed	39505912
PRJEB3374	Mus musculus	10090		China	4	AMPLICON	ena_only	
PRJDB7630	Homo sapiens	9606		Japan:Hyogo kobe	40	WGS	ena_only	
PRJNA917118	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
PRJNA663646	Homo sapiens	9606		missing	20	WGS	ena_only	
PRJNA546499	insect metagenome			Italy: Ancona	10	AMPLICON	pubmed	31821372
PRJEB81807				South Korea	8	WGS	ena_only	
PRJEB74236				China	118	WGS	ena_only	
PRJNA757579	mouse			China:Hohhot	162	WGS	ena_only	
PRJNA532302	Mouse			South Korea	18	AMPLICON	pubmed	33317254
PRJNA1076075	Aldabrachelys gigantea	167804		Seychelles: Curieuse	54	AMPLICON	pubmed	40520638
PRJEB33536					9	WGS	ena_only	
PRJEB108722	Mus musculus	10090	UBERON:feces	USA;USA:CA:San Diego	80	WGS	ena_only	
PRJNA46305	unidentified;human metagenome				92	AMPLICON	pubmed	29692798
PRJNA340908	Gallus gallus	9031		China:Harbin	29	WGS	ena_only	
PRJNA660549	chicken gut metagenome			China:Chongqing	12	WGS	ena_only	
PRJEB21827					12	WGS	ena_only	
PRJNA690892	Camelus bactrianus ferus			China: Gansu	13	WGS	ena_only	
PRJNA769975	Mus musculus				15	AMPLICON	pubmed	35154087
PRJEB40559					28	AMPLICON	pubmed	33329584
PRJNA601807	Microhyla fissipes	387934		China: Sichuan	10	WGS	pubmed	32194513
PRJEB75763				China	3	WGS	ena_only	
PRJNA997718	Trachypithecus francoisi	54180		China	13	WGS	pubmed	38033571
PRJNA925857	Canis lupus familiaris	9615		USA:KS,Topeka	226	WGS	pubmed	39394961
PRJEB60928	chicken gut metagenome				411	AMPLICON	ena_only	
PRJNA483255	Suhuai suckling piglet			China: Huaian	1	WGS	ena_only	
PRJEB86261	Sus scrofa	9823	Caecum	Norway	1000	WGS	ena_only	
PRJEB34992			human-gut		144	WGS	pubmed	33771219
PRJNA1108201	broiler			China:JiaXing	76	AMPLICON	ena_only	
PRJNA1225188	Homo sapiens				63	WGS	ena_only	
PRJNA961946	child			China:Shijiazhuang	29	WGS	ena_only	
PRJNA753017	Bovine			China:Bengbu	1	AMPLICON	pubmed	39409842
PRJDB4525	Homo sapiens	9606		Japan:Fukuoka	36	WGS	ena_only	
PRJNA742232	feces metagenome			China	1	AMPLICON	pubmed	38916334
PRJNA1090271	missing			India: Karnataka, Manipal	86	WGS	pubmed	39553288
PRJEB30419	Mus musculus				55	AMPLICON	pubmed	31191488
PRJNA726842	Macaca mulatta			China	7	WGS	pubmed	35141306
PRJNA847753	seagull			China: Yunnan	8	WGS	pubmed	37208617
PRJEB74255	Mus musculus	10090		Germany	264	AMPLICON	ena_only	
PRJNA852373	Homo sapiens			Taiwan	5	WGS	ena_only	
PRJNA401977				China	145	WGS	pubmed	37684563
PRJEB79352	Gallus gallus			United Kingdom	240	WGS	pubmed	39881387
PRJEB35587				Canada	114	AMPLICON	pubmed	39947133
PRJNA1228986	Gallus gallus	9031		China:yangling	34	WGS	ena_only	
PRJEB21612				China	117	WGS	pubmed	38156010
PRJNA1268758	Gallus gallus domesticus			Jordan: Irbid	24	WGS	ena_only	
PRJNA884648	Gallus gallus	9031		USA: Ohio	313	AMPLICON	pubmed	36846268
PRJEB66719				Taiwan	306	WGS	pubmed	39722590
PRJNA1214037	Sus scrofa	9823		Spain	144	WGS	pubmed	41044758
PRJEB14410				Netherlands	2	WGS	ena_only	
PRJNA431482	Homo sapiens	9606		China:Chongqing	76	WGS	pubmed	30077182
PRJNA1141889	Gallus gallus	9031		Kazakhstan: Petropavl	10	WGS	pubmed	40486234
PRJNA986525	Mus musculus	10090		USA: Nashville	17	WGS	ena_only	
PRJEB36943				Canada	90	WGS	ena_only	
PRJNA1023249	Capra hircus			USA: California	3	WGS	ena_only	
PRJNA1036376	Gallus gallus	9031		China: Ya'an	70	WGS	ena_only	
PRJNA796167	Mus musculus	10090		China: Rongchang	1	AMPLICON	pubmed	38916334
PRJEB41786			human-gut	Denmark	150	WGS	ena_only	
PRJNA902000	5xFAD (B6.Cg-Tg(APPSwFlLon;PSEN1*M146L*L286V)6799Vas/Mmjax;Stock number 34848-JAX;MMRRC);5xFAD			USA: Irvine, California	236	WGS	pubmed	36468884
PRJNA825132	shrimp			China	3	WGS	ena_only	
PRJEB64019	feces metagenome			France	267	AMPLICON	ena_only	
PRJEB2054					124	WGS	pubmed	27388460
PRJNA779106	piglet			China:Hohhot	236	WGS	ena_only	
PRJDB11444	Homo sapiens	9606		Japan	306	AMPLICON	ena_only	
PRJEB87208	Gallus gallus			Greece	2	AMPLICON	pubmed	40731980
PRJNA358755	Panda	212257		China: wolong	207	WGA	pubmed	31635158
PRJEB41323	Gallus gallus	9031	Caecum content	Spain	210	WGS	ena_only	
PRJNA884655	Cervus elaphus				41	AMPLICON	pubmed	38229330
PRJNA678871	Homo sapiens	9031		China: Shandong	152	WGS	pubmed	37563495
PRJEB82955	chicken gut metagenome			Netherlands	180	OTHER	pubmed	41527156
PRJNA806371	Danio rerio	7955		China:Shanghai	5	WGS	ena_only	
PRJNA785327	Bacillota			China: Chengdu	10	AMPLICON	pubmed	36474293
PRJNA972320	Ovis aries	9940		China	320	WGA	pubmed	38845047
PRJNA744273	Aspidoscelis sonorae				65	RAD-Seq	pubmed	36221927
PRJNA574851	Macaca mulatta	9544		China:Kunming,Yunnan-Kweichow Plateau	10	WGS	pubmed	34475403
PRJNA338082	Polypedates megacephalus	68449		Taiwan	2	AMPLICON	pubmed	28155661
PRJEB56784	Homo sapiens	9606	UBERON:feces	USA:CA: San Diego	382	AMPLICON	ena_only	
PRJEB11755	pig gut metagenome			Denmark	295	WGS	pubmed	32038603
PRJNA294605	Homo sapiens			USA: Pittsburgh, PA	11	WGS	pubmed	38882494
PRJNA298736	Gallus gallus	9031		Italy	13	WGS	ena_only	
PRJEB37572	Mus musculus	10090			86	WGS	ena_only	
PRJEB22343	pediatric patients				10	AMPLICON	pubmed	32743520
PRJNA408025	Sus scrofa	9823			114	AMPLICON	ena_only	
PRJNA890753	Mus musculus				12	OTHER	pubmed	41439237
PRJNA855329	host333			China: gaozhou	363	AMPLICON	ena_only	
PRJNA1293880					29	WGS	pubmed	41925227
PRJNA678365	Homo sapiens			Bangladesh:Tongi	32	AMPLICON	ena_only	
PRJNA733893	Salmo salar				63	AMPLICON	pubmed	41700855
PRJNA779384	Mus musculus	10090		USA: Rutgers University	16	AMPLICON	pubmed	35158041
PRJNA590026	Homo sapiens	9606		China:Hainan province	78	OTHER	pubmed	34193290
PRJDB36334	Cervus albirostris	1088058		missing: data agreement established pre-2023	114	WGS	ena_only	
PRJNA699146	Homo sapiens	9606		China:Beijing	48	WGS	ena_only	
PRJNA855286	Suidae	9821		China: Ningxiang	30	WGS	ena_only	
PRJNA1293833	Bos taurus	9913		China:Guiyang	39	WGS	pubmed	41588320
PRJNA791695	Sus scrofa	9823		China:Changsha	24	AMPLICON	pubmed	41877288
PRJNA1298367	Homo sapiens	9606		missing	104	WGS	pubmed	41585377
PRJEB39685	Meleagris gallopavo	9103		Germany	132	WGS	ena_only	
PRJNA235974	Apis cerana			South Korea: Seoul	12	RNA-Seq	pubmed	32531278
PRJEB102366	chicken gut metagenome			United Kingdom	72	WGS	ena_only	
PRJNA1269114	Sus scrofa	9823		USA	13	WGS	ena_only	
PRJDB16790	Homo sapiens	9606		Japan	428	WGS	ena_only	
PRJNA795830	mouse				20	RNA-Seq	pubmed	37774039
PRJNA494824	Homo sapiens	9606		USA	71	WGS	pubmed	32138779
PRJEB20054				Ireland	118	AMPLICON	pubmed	29719871
PRJNA763692	Homo sapiens			China	1000	WGS	pubmed	41068119
PRJNA907943	Petaurus gracilis	122273		Australia	112	AMPLICON	ena_only	
PRJNA386685	Mytilus edulis			USA: Groton, Connecticut	36	AMPLICON	pubmed	33980678
PRJNA624223	Homo sapiens	9606		missing	73	WGS	pubmed	32442562
PRJNA598094	Apis cerana japonica	292787		Japan:Chiba	40	WGS	pubmed	32531278
PRJNA919082	Homo sapiens				64	WGS	ena_only	
PRJNA1040026	ICR mouse			South Korea: Jeongeup-si	20	RNA-Seq	pubmed	39318427
PRJNA772305	Danio rerio	7955		USA	8	RNA-Seq	pubmed	37304849
PRJDB7378	Homo sapiens	9606		Japan	50	WGS	ena_only	
PRJNA1091038	Dama dama	30532		Hungary: Tamsi	15	WGS	pubmed	41966829
PRJNA906278	Sus scrofa			China:Beijing	72	AMPLICON	pubmed	37777765
PRJEB39605					3	AMPLICON	pubmed	32817384
PRJNA415307	Mus musculus	10090		USA: Michigan, Ann Arbor, UM BSRB	9	WGS	pubmed	29950381
PRJEB6070	Homo sapiens			France	350	WGS	pubmed	35440042
PRJDB1664	Homo sapiens				346	AMPLICON	pubmed	25703686
PRJNA825732	Anguilla anguilla	7936		France: Pas-du-Bouc	50	WGS	ena_only	
