study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid
PRJDB36191	Mus musculus	10090		missing: data agreement established pre-2023	20	WGS	ena_only	
PRJNA871932	duck			China:lanxi	119	AMPLICON	pubmed	40294554
PRJNA741822	Homo sapiens	9606		China:Shandong	123	WGS	ena_only	
PRJNA1389899	Gallus gallus	9031		China: Wuhan	18	WGS	ena_only	
PRJNA1273701	Sprague-Dawley rats				36	WGS	pubmed	41289310
PRJEB101827	Gallus gallus domesticus	9031		India	120	WGS	ena_only	
PRJNA859374	rat			China: Xi'an	16	WGS	ena_only	
PRJNA688070	Gallus gallus	9031		USA: Athens, GA	2	Hi-C	ena_only	
PRJNA899060	Sus scrofa domesticus	9825		USA	57	WGS	ena_only	
PRJNA539906	Alligator sinensis	38654		China:Zhejiang,Changxing	14	AMPLICON	pubmed	31708889
PRJNA825121	shrimp			China	3	WGS	ena_only	
PRJEB57876					62	AMPLICON	ena_only	
PRJNA506751	fish gut metagenome			India: Odisha	1	WGS	ena_only	
PRJNA1356556	environment			China: Tangshan City, Hebei Province	28	WGS	ena_only	
PRJEB56919				Spain	303	AMPLICON	ena_only	
PRJNA1006089	feces metagenome			China: Xinjiang, Changji	169	WGS	ena_only	
PRJNA732472	Mus musculus C57BL/6			Ireland: Cork	146	OTHER	pubmed	37528457
PRJNA1339042	Gallus gallus	9031		Czechia	2	RNA-Seq	pubmed	41841524
PRJNA943112	Gallus gallus	9031		China	24	OTHER	pubmed	40895792
PRJNA794972	fish gut metagenome			China: Xinxiang	1	WGS	ena_only	
PRJNA613834	Homo sapiens	9606		USA	76	WGS	ena_only	
PRJNA1073535	Macaca fascicularis	9541		Canada: Kingston	62	AMPLICON	pubmed	39538341
PRJNA1088536	Bos taurus	9913		USA	112	WGS	pubmed	39030654
PRJNA384716	Homo sapiens	9606		Finland: Turku	96	WGS	pubmed	38882494
PRJNA892774	Mus musculus	10090		China:Lanzhou	26	WGS	pubmed	37355675
PRJDB16312	Homo sapiens	9606		Japan	30	WGS	ena_only	
PRJNA843783	Sus scrofa	9823		China: Nanjing	45	WGS	pubmed	40083031
PRJNA844935	Mus musculus	10090		missing	16	WGS	pubmed	37102874
PRJNA689655	Sus scrofa domesticus	9825		China: Guangxi	42	WGS	ena_only	
PRJNA1009013	Homo sapiens	9606		Germany: Thuringia	1	WGS	pubmed	40797302
PRJEB58786					389	AMPLICON	ena_only	
PRJNA563204	rat			China:Hohhot	192	WGS	ena_only	
PRJNA660265	Nasonia giraulti			USA	8	WGS	pubmed	33824199
PRJNA665253	Sus scrofa	9823		Canada: Edmonton	191	WGS	ena_only	
PRJDB4176	Homo sapiens	9606		Japan	645	WGS	ena_only	
PRJNA1332145	Sus scrofa	9823		China: Zoucheng, Shandong Province	112	WGS	ena_only	
PRJNA929077	Rhinopithecus roxellana	61622		China:Foping	96	AMPLICON	pubmed	36860485
PRJNA1145661	Mus musculus	10090		Japan: Osaka, Suita	22	RNA-Seq	pubmed	39693209
PRJEB56022	feces metagenome				312	WGS	ena_only	
PRJNA788958	Equus caballus	9796		USA: Florida	135	WGS	pubmed	36908513
PRJEB42282	feces metagenome			USA	128	WGS	ena_only	
PRJEB57228				Germany	44	WGS	ena_only	
PRJNA937780	Ovis aries	9940		China:Ningxia	22	WGS	pubmed	37936065
PRJDB33192	Homo sapiens	9606		missing: data agreement established pre-2023	51	WGS	ena_only	
PRJNA732391	Apis mellifera	7460		Brazil: PARAIBA,AREIA	45	AMPLICON	pubmed	39939365
PRJNA373834	Sus scrofa	9823		Germany: Berlin	22	WGS	ena_only	
PRJEB47613	Gallus gallus	9031	Caecum content	Spain	47	WGS	ena_only	
PRJDB16532	Homo sapiens	9606		Japan	118	AMPLICON	ena_only	
PRJDB16167	Mus musculus	10090		Japan:Ibaraki, Tsukuba, Tsukuba University	9	WGS	ena_only	
PRJNA942468	HV001_G05_0464_BDME190634659-1a_HMJH7DSXX_L1;HV001 G05 0464 BDME190634659-1a HMJH7DSXX L1			Netherlands	517	WGS	pubmed	39947133
PRJNA1301039	Gallus gallus	9031		China:Lintao	48	WGS	ena_only	
PRJNA1073587	Ailuropoda melanoleuca	9646		China:Chengdu	6	WGS	pubmed	41925227
PRJNA1168499	Mus musculus	10090		USA:Michigan	1000	AMPLICON	pubmed	40454811
PRJEB33219					53	WGS	ena_only	
PRJNA1099794	Gallus gallus			China:Qingdao	56	WGS	pubmed	40859157
PRJNA417359	Gallus gallus	9031		China:Hunan	495	WGS	pubmed	33868800
PRJEB53667	chicken gut metagenome		intestine	USA	48	WGS	ena_only	
PRJNA769425	Sus scrofa domesticus	9825		Thailand	18	WGS	ena_only	
PRJNA176003	Mouse			USA: Iowa	1	WGS	pubmed	33627510
PRJNA622417	rat			India:Tamilnadu,Vellore	4	WGS	ena_only	
PRJNA612780	Homo sapiens			Pakistan:Peshawar	26	WGS	ena_only	
PRJEB32644					616	WGS	ena_only	
PRJNA63661	Homo sapiens			missing	594	WGS	pubmed	38882494
PRJNA1245445	Bos taurus				144	WGS	pubmed	41304325
PRJNA964437	Tenualosa ilisha	373995		Bangladesh: Chandpur	18	AMPLICON	pubmed	37747192
PRJNA917113	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
PRJEB101774	feces metagenome			Germany	79	WGS	ena_only	
PRJEB22175	feces metagenome				96	WGS	ena_only	
PRJNA1123460	Homo sapiens	9606		China: Beijing	24	WGS	pubmed	39931490
PRJNA1031529	Mus musculus	10090		USA: University of Missouri - Columbia, Discovery Ridge	621	AMPLICON	pubmed	39386691
PRJNA1171181	Siniperca chuatsi	119488		China:Chizhou City	8	WGS	ena_only	
PRJNA1116530	Bacillota			China:Shandong	15	WGS	pubmed	38895717
PRJDB37508	Homo sapiens	9606		Japan:Tokyo	470	WGS	ena_only	
PRJNA1313004	Grus japonensis	30415		China: Jiangsu	1	RNA-Seq	pubmed	41403401
PRJDB3819	Lagopus muta hyperborea	2969981		Japan: Kanagawa, Yokohama	9	WGS	ena_only	
PRJNA1017798	Ochotona curzoniae	130825		China:Qinghai	24	WGS	ena_only	
PRJNA625290	Bos taurus			USA:New Mexico	211	AMPLICON	pubmed	38004740
PRJNA784369	Mus musculus	10090		South Korea: Seoul, Seoul National University	50	AMPLICON	pubmed	37118698
PRJDB36534	Ailuropoda melanoleuca	9646		missing: data agreement established pre-2023	190	AMPLICON	ena_only	
PRJNA597688	Siganus canaliculatus	75042		China:Shantou	2	WGS	ena_only	
PRJNA801914	piglet			China:Chengde	24	WGS	ena_only	
PRJNA1428229					18	WGS	pubmed	41787302
PRJEB62607	feces metagenome			Denmark	25	WGS	pubmed	39300575
PRJNA732137	Cervus nippon			China:Jiangxi	20	AMPLICON	pubmed	34851181
PRJNA746114	Homo sapiens	9606		China:Guangzhou	169	AMPLICON	ena_only	
PRJNA835973	rat			Japan: Kagawa Prefecture	19	WGS	ena_only	
PRJEB31095	Gadus morhua				102	OTHER	pubmed	31953333
PRJNA824256	Salmo salar				51	AMPLICON	pubmed	41700855
PRJNA705799	Macaca fascicularis	9541		Thailand: Saraburi	145	AMPLICON	pubmed	34253790
PRJNA606765	Propithecus diadema	83281		Madagascar: Ambatovy Conservation Zone	100	AMPLICON	ena_only	
PRJNA629856	Sus scrofa domesticus			Canada:Lacombe	1000	AMPLICON	pubmed	34812652
PRJNA635258	mouse			missing	296	AMPLICON	pubmed	33593429
PRJDB17048	Homo sapiens	9606		Japan	71	WGS	ena_only	
PRJNA590085	Nymphicus hollandicus	9031		China:Guangdong	145	AMPLICON	pubmed	33980682
PRJNA1235634					15	RNA-Seq	pubmed	40753152
PRJDB15798	Homo sapiens	9606		Japan	60	WGS	ena_only	
PRJNA1090561	Salmo salar			China:Yantai	21	WGS	ena_only	
PRJNA733600					48	Targeted-Capture	pubmed	34683385
PRJEB58787					204	WGS	ena_only	
PRJEB76817	feces metagenome			Spain	271	WGS	ena_only	
PRJNA853153	Bacillota			China	12	WGS	pubmed	36389176
PRJEB47609	Gallus gallus	9031	Ileum content	Spain	179	WGS	ena_only	
PRJNA662107	Homo sapiens	9606		USA	522	WGS	ena_only	
PRJNA31257	Homo sapiens				1	CLONEEND	pubmed	36915382
PRJNA1028770	mouse			China:wuhan	16	WGS	ena_only	
PRJNA990717	chicken gut metagenome			China: Hefei	12	WGS	ena_only	
PRJNA672868	Sus scrofa	9823		United Kingdom: Sparsholt, Hampshire	5	WGS	ena_only	
PRJNA1248599	Mus musculus	10090		China:Tianjin	31	AMPLICON	pubmed	40744840
PRJEB47976	Homo sapiens			Germany	175	WGS	pubmed	35516807
PRJNA1301879	Microbiology			China:Zunyi	9	AMPLICON	pubmed	40969426
PRJNA327106	Homo sapiens	9606		USA: Pittsburgh, Magee-Womens Hospital of UPMC	45	WGS	pubmed	38882494
PRJNA558670	Equus ferus przewalskii			China: Xinjiang	23	AMPLICON	pubmed	32226419
PRJNA866162	Homo sapiens			USA: Indiana, West Lafayette	283	AMPLICON	ena_only	
PRJNA820543	Anser anser	8843		China	1	RNA-Seq	pubmed	35923413
PRJNA1257558	Pantholops hodgsonii	59538			68	WGS	pubmed	41502854
PRJNA1006504	Gallus gallus	9031		Thailand	2	WGS	pubmed	41539238
PRJNA1282711	Sus scrofa domesticus	9825		Netherlands:Velddriel	45	WGS	ena_only	
PRJEB50613	pig gut metagenome			Denmark	62	WGS	ena_only	
PRJNA987743	Bos indicus	9915		Brazil	104	WGS	pubmed	38163076
PRJNA1368674	Ailuropoda melanoleuca	9646		China: Sichuan, Dujiangyan Panda Base (CCRCGP)	7	OTHER	pubmed	41751034
PRJNA1206810	feces metagenome			China:jining	9	WGS	pubmed	40635073
PRJNA1254282	Rattus norvegicus				27	AMPLICON	pubmed	40376801
PRJNA718322	Mus musculus	10090			30	WGS	pubmed	35982311
PRJNA526405	Porcine			Australia: NSW	667	WGS	pubmed	34080630
PRJNA298737	Gallus gallus	9031		Italy	94	AMPLICON	ena_only	
PRJNA356809	Lynx lynx			China:guangyuan	77	WGA	pubmed	31635158
PRJNA1233948					24	RNA-Seq	pubmed	40753152
PRJNA1222153					493	WGS	pubmed	41547860
PRJNA555355	Salmo salar	8030		Norway:Inndyr	80	AMPLICON	pubmed	41700855
PRJNA824056	Neotoma lepida	56216		USA: Utah	263	AMPLICON	pubmed	37915425
PRJNA1145594	Mus musculus	10090		Japan: Osaka, Suita	30	RNA-Seq	pubmed	39693209
PRJNA723218	Dairy cattle			missing	144	WGS	pubmed	36670455
PRJNA874173	Alpha-synuclein transgenic c57bl/10 mice			China:Heilongjiang,Harbin	9	WGS	ena_only	
PRJNA1119043	Cow			China: Beijing	91	WGS	pubmed	39695983
PRJNA821230	Felis catus	9685		USA: Auburn	16	WGS	pubmed	36181381
PRJEB45397					986	WGS	ena_only	
PRJNA827933	mouse			China:Ningbo	9	WGS	ena_only	
PRJEB32701	Mus musculus domesticus			USA	136	AMPLICON	pubmed	31141224
PRJNA772288	Domestic animals			Botswana:Palapye	4	WGS	ena_only	
PRJNA983744	Mus musculus	10090		China: Zhejiang	18	WGS	ena_only	
PRJNA549182	Mus musculus	10090		USA: Providence, RI	48	WGS	pubmed	31523007
PRJNA277984	Bos taurus			USA:CA	558	WGS	pubmed	42106836
PRJNA637751	Mus	862507		China: Hangzhou	48	AMPLICON	pubmed	33039712
PRJNA723631	Raphanus sativus	3726		Canada	27	WGS	ena_only	
PRJNA772743	Mus musculus				234	RNA-Seq	pubmed	36759753
PRJEB21793					48	WGS	ena_only	
PRJNA730696	Salmo salar	8030		Norway:Dirdal	139	AMPLICON	pubmed	41700855
PRJNA237362	Homo sapiens	9606		USA	662	AMPLICON	pubmed	39947133
PRJNA1083038	Cervus elaphus	9860		China:Inner Mongolia	55	WGS	pubmed	39438539
PRJNA902684	Rattus	10114		China: Hohhot	110	WGS	ena_only	
PRJNA1110045	Sus scrofa	9823		China:chuzhou	1	WGS	ena_only	
PRJEB33889	Mus musculus	10090			24	AMPLICON	pubmed	31978162
PRJNA1120402	Ailuropoda melanoleuca	9646		China: Wenchuan	28	AMPLICON	pubmed	41971320
PRJEB10572	mouse				56	WGS	pubmed	33627510
PRJNA812273	Nomascus hainanus	693984		China: Hainan	1	WGS	ena_only	
PRJNA1210156	Homo sapiens	9606		Canada	23	AMPLICON	pubmed	40537892
PRJNA728091	Cow-dung			India: Shantiniketan	7	WGS	ena_only	
PRJNA1211542	chickens			missing	70	RNA-Seq	pubmed	40266232
PRJEB25441	Sparus aurata				14	AMPLICON	pubmed	30083467
PRJNA1146738	Erinaceus amurensis			China: Qingdao, Shandong	13	AMPLICON	pubmed	39703701
PRJDB9649	Homo sapiens	9606		China	88	WGS	ena_only	
PRJNA522275	Mus musculus	10090			50	AMPLICON	pubmed	31138751
PRJNA626062	Homo sapiens	9606		China:Nanjing	54	WGS	ena_only	
PRJNA552411	Gallus gallus	9031		Ethiopia: Afar	2	WGS	ena_only	
PRJNA741607	rat			Japan: Kagawa Prefecture	59	WGS	ena_only	
PRJNA984595	Sus scrofa	9823		Ireland: County Cork	92	WGA	pubmed	38627869
PRJDB7767	Homo sapiens	9606		Japan	118	WGS	ena_only	
PRJNA978974	Mus musculus				4	RNA-Seq	pubmed	39420836
PRJEB18726	Homo sapiens			Arctic Ocean	2	WGS	ena_only	
PRJNA795867	Rattus norvegicus	10116		China:Shanghai	25	AMPLICON	pubmed	35151255
PRJNA390475	Homo sapiens	9606		Austria: Graz	51	AMPLICON	pubmed	41644796
PRJNA1273977	Sus scrofa domestica			United Kingdom:Wincherster	178	WGS	pubmed	41904571
PRJNA553830	Mus musculus				6	RNA-Seq	pubmed	31905172
PRJEB40824	Sus scrofa	9823		Poland	6	WGS	pubmed	33270717
PRJNA1064443	duck			China:Zhejiang	242	OTHER	pubmed	41385957
PRJNA913689	Larimichthys polyactis	334908			63	WGS	ena_only	
PRJEB51353				Sweden	1000	WGS	pubmed	36925044
PRJDB17226	Mus musculus	10090		Japan:Tokyo	10	WGS	ena_only	
PRJNA999945	missing			missing	1	WGS	ena_only	
PRJEB52754	Gasterosteus aculeatus	69293	gut content	Iceland	68	WGS	ena_only	
PRJEB24041				Germany	212	WGS	ena_only	
PRJEB15341					6	WGS	ena_only	
PRJNA1137132	Mus musculus	10090		Italy: Genova	36	WGS	pubmed	39478626
PRJNA974094	Danio rerio	7955			18	WGS	ena_only	
PRJNA385038	Gallus gallus	9031		China:Wuhan	13	OTHER	pubmed	33868800
PRJEB18805					395	WGS	ena_only	
PRJNA825520	Bos taurus	9913		USA: Michigan	159	POOLCLONE	pubmed	38836107
PRJNA917115	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
PRJNA1240267	Mus musculus	10090		China:Shanxi	84	AMPLICON	pubmed	41088378
PRJNA791800	Salvelinus alpinus	8036		Iceland: Reykjavik	130	AMPLICON	pubmed	38745980
PRJEB66439	Canis lupus familiaris	9615	Intestines	Norway	472	WGS	pubmed	38481663
PRJEB22765				China	20	WGS	ena_only	
PRJNA1187897	missing			China:Shanxi	119	WGS	pubmed	40671160
PRJNA658576	Crassostrea virginica	6565		USA:Ninigret Pond, Rhode Island	99	AMPLICON	pubmed	33980678
PRJNA1322165	Felis catus	9685		South Korea	40	AMPLICON	pubmed	41040929
PRJNA848282	Tibetan pigs			China:LinZhi	12	WGS	ena_only	
PRJNA713764	Sparus aurata	8175		Spain: Burriana	27	AMPLICON	pubmed	37628701
PRJNA474117	Mus musculus taxid:10090			USA:Midwest,Columbia, MO	596	AMPLICON	pubmed	29973630
PRJDB38938	Mus musculus	10090		missing: data agreement established pre-2023	18	WGS	ena_only	
PRJNA844237	RWA-Fecal-Sow1-time1			Not collected	40	WGS	pubmed	36139998
PRJEB100724	Sus scrofa	9823	Caecum	Denmark	54	WGS	ena_only	
PRJNA321058	Homo sapiens	9606		USA	53	WGS	pubmed	39947133
PRJNA1391520	pig gut metagenome			USA: Davis, CA	24	WGS	pubmed	42106836
PRJNA814825	Equus przewalskii	9798		China: Xinjiang Province	15	WGS	pubmed	35744684
PRJNA735412	Pig sapiens			missing	20	OTHER	pubmed	34867862
PRJDB8678	Homo sapiens	9606		Japan:Hyogo kobe	85	AMPLICON	ena_only	
PRJDB1461					1	WGS	ena_only	
PRJNA376580	indoor metagenome			USA: Pittsburgh, Pennsylvania Magee Womens Hospital	39	WGS	pubmed	38882494
PRJNA313232	Homo sapiens	9606		China	14	WGS	pubmed	27388460
PRJNA662976					48	AMPLICON	pubmed	41700855
PRJNA821641	Sus scrofa	9823		Ireland: County Cork	77	WGA	pubmed	35950862
PRJNA730677	Homo sapiens	9606		Israel: Tel-Aviv	70	WGS	ena_only	
PRJEB15343	Gallus gallus			India	600	AMPLICON	pubmed	41852415
PRJNA531273	Homo sapiens	9606		India: Bhopal	30	WGS	pubmed	31719139
PRJEB14935	feces metagenome			United Kingdom	3	WGS	ena_only	
PRJNA1124013	Ailuropoda melanoleuca	9646		China: Chengdu	22	WGS	pubmed	40442787
PRJNA1314803	Bos taurus	9913		Canada: Quebec	52	AMPLICON	pubmed	41882801
PRJDB16698	Mus musculus	10090		Japan:Kyoto	6	WGS	ena_only	
PRJNA988937	Gallus gallus			China:Guangdong, Zhuhai	35	WGS	ena_only	
PRJNA389280	Homo sapiens	9606		USA	378	WGS	pubmed	39947133
PRJEB4336				Denmark	292	WGS	pubmed	37398234
PRJEB56657	Mus musculus			China	12	RNA-Seq	pubmed	36710967
PRJNA980747	Mus musculus			USA	12	RNA-Seq	pubmed	38532703
PRJEB23010					205	WGS	ena_only	
PRJNA1049649	Harpadon nehereus				6	WGS	ena_only	
PRJNA720530	Salvelinus alpinus	8036		Iceland: Reykjavik	116	AMPLICON	pubmed	38745980
PRJNA843999	Mesocricetus auratus	10036		Spain: Madrid	27	AMPLICON	pubmed	36522762
PRJEB81272	fish gut metagenome			Norway	1000	AMPLICON	ena_only	
PRJNA1330193	Sus scrofa	9823		China: Guangdong, Guangzhou	45	AMPLICON	pubmed	41227433
PRJNA1112422	Sus scrofa domesticus	9825		Brazil: Porto Alegre	6	WGS	ena_only	
PRJNA577421	Homarus gammarus	6707		United Kingdom	1	AMPLICON	pubmed	31676854
PRJNA1247471					44	WGS	pubmed	41862790
PRJDB4366	Apostichopus japonicus	307972		Japan:Hokkaido, Kumaishi	23	AMPLICON	pubmed	26905381
PRJNA726636	southern_sea_otter;southern sea otter	1049777		USA: California	720	AMPLICON	ena_only	
PRJNA1083497	Mus musculus	10090		USA: University of Missouri, Disovery Ridge, Columbia, MO	147	AMPLICON	pubmed	39679617
PRJNA657304	Canis lupus familiaris	9615		USA: Illinois, University of Illinois Laboratory of Comparative Nutrition and Nutrigenomics	21	WGS	pubmed	33542301
PRJNA1245063	Gallus gallus				12	WGS	ena_only	
PRJEB6905	Mus musculus			United Kingdom	44	AMPLICON	pubmed	28821731
PRJNA1328842	Sus scrofa	9823		USA: Kansas, Kansas State University Comparative Medicine	1000	AMPLICON	ena_only	
PRJEB72876	fish gut metagenome			Mediterranean Sea	15	AMPLICON	pubmed	40517265
PRJNA809837	Homo sapiens	9606		China	1	WGS	pubmed	39496841
PRJEB30834	feces metagenome		feces	Cameroon	267	WGS	ena_only	
PRJNA1020867	Sus scrofa domesticus	9825		USA: Clay Center, NE	707	AMPLICON	pubmed	40384785
PRJNA1073304	mouse			missing	12	AMPLICON	pubmed	39264803
PRJNA435487	Gallus gallus	9031		India: Anand	10	WGS	ena_only	
PRJEB4410	Plasmodium falciparum				403	WGS	pubmed	27388460
PRJNA1175391	Micropterus salmoides	27706			12	WGS	ena_only	
PRJNA593263	feces metagenome			USA:Birmingham	30	WGS	ena_only	
PRJNA1375668	Sus scrofa	9823		China:Hunan	24	WGS	ena_only	
PRJNA1193062				USA:Ohio	323	WGS	ena_only	
PRJNA553106	Sus scrofa				115	WGS	pubmed	39202331
PRJNA1282110	Gallus			China:Changsha	384	AMPLICON	pubmed	42019469
PRJDB10484	Homo sapiens	9606		Japan	102	AMPLICON	ena_only	
PRJNA898107				China:Wuhan	16	AMPLICON	pubmed	39420836
PRJNA1082665	canine			USA	767	WGS	pubmed	39394961
PRJEB89830				Germany	38	WGS	ena_only	
PRJEB81106				Israel	794	WGS	ena_only	
PRJNA908260	domestic Feline			China	8	WGA	pubmed	37428087
PRJNA917095	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
PRJNA871950	Canis lupus	9612		China: Nei Monggol Autonomous Region	11	AMPLICON	pubmed	36386659
PRJNA601162	Sus scrofa domesticus	9825		USA: Ohio	62	WGS	pubmed	36346230
PRJNA428973	Artibeus lituratus	124751		Belize: Orange Walk District, Ka'kabish Archaeological Reserve	51	AMPLICON	pubmed	29765359
PRJNA383577	Mus musculus	10090		USA	64	AMPLICON	pubmed	29950381
PRJNA1242249	Moschus berezovskii	68408		China:Hunan	24	WGS	pubmed	40646853
PRJNA824950	Mus musculus	10090		Singapore	102	AMPLICON	pubmed	36288294
PRJNA1218713	Sus scrofa	9823		Spain	172	WGS	pubmed	41618383
PRJNA915408	Mus musculus	10090		USA: University of Missouri	426	AMPLICON	pubmed	37608207
PRJNA737271	Sus scrofa			Not collected	40	WGS	ena_only	
PRJNA894152	Homo sapiens	9606		Nicaragua	82	WGS	ena_only	
PRJNA453374	Bos taurus	9913		USA:Colorado	28	WGS	pubmed	30796295
PRJEB88329				South Korea	171	WGS	ena_only	
PRJDB34988	Anas platyrhynchos	8839		missing: data agreement established pre-2023	464	RNA-Seq	ena_only	
PRJNA575106	dairy				1000	AMPLICON	pubmed	32591006
PRJNA944612	Sus scrofa domesticus	9825		USA	720	WGS	ena_only	
PRJNA438833	dairy			USA:Davis,CA	786	AMPLICON	pubmed	31562300
PRJNA1067373	Sus scrofa	9823		China: Nanjing	1	WGS	ena_only	
PRJNA780249	Mus musculus	10090		Spain: Valencia	28	RNA-Seq	pubmed	39684246
PRJNA1003883	Fecal pool P1 from Mus musculus C57BL/6 R1 and mouse R6 of VLPs group at week 17			Mexico:Cuernavaca	49	AMPLICON	pubmed	41348832
PRJNA453789	Mus musculus taxid:10090			USA:Midwest,Columbia, MO	269	AMPLICON	pubmed	30359379
PRJDB17852	Homo sapiens	9606		missing	129	WGS	ena_only	
PRJNA1218236	mouse			missing	16	OTHER	pubmed	40144527
PRJNA1078280	Mus musculus			missing	38	RNA-Seq	ena_only	
PRJNA878467	wildlife			China:Guangzhou	1	WGS	ena_only	
PRJNA650141	Salmo salar	8030		United Kingdom: Machrihanish	167	AMPLICON	pubmed	41700855
PRJNA325931	Homo sapiens	9606		Colombia: Medellin	112	AMPLICON	pubmed	33039709
PRJDB6620	Mus musculus	10090		Japan	25	WGS	ena_only	
PRJNA777737	Ochotona curzoniae	130825		China:Qinghai	26	WGS	ena_only	
PRJNA953833					369	WGS	pubmed	42121260
PRJNA917099	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
PRJNA940065	Mus musculus	10090		USA: Pennsylvania	14	WGS	pubmed	37398234
PRJEB9357	Felis catus			United Kingdom	88	WGS	pubmed	26659594
PRJNA1173401	Gallus gallus	9031		China: nanjing	6	WGS	ena_only	
PRJNA1012496				China:Beijing	12	WGS	pubmed	39080726
PRJEB83270				United Kingdom	26	WGS	ena_only	
PRJNA777422	feces metagenome			China:Nanjing	16	WGS	ena_only	
PRJNA792435	Capra hircus	9925		missing	20	AMPLICON	pubmed	35801115
PRJEB96078	Mus musculus	10090	UBERON:feces	USA;USA:CA:San Diego	192	WGS	ena_only	
PRJEB39500					203	WGS	pubmed	37398234
PRJNA1069863	missing			China:Baoding	20	AMPLICON	pubmed	40151573
PRJEB60080	Sus scrofa domesticus	9825		France	6	WGS	ena_only	
PRJEB1391				South Korea	73	AMPLICON	ena_only	
PRJNA1187854	Bostaurus			China:Shanxi	20	WGS	pubmed	40671160
PRJNA385949				USA:Boston	262	WGS	pubmed	39947133
PRJEB38095					513	WGS	ena_only	
PRJNA290380	Homo sapiens	9606		Russia:Petrozavodsk	785	WGS	pubmed	38882494
PRJEB48041	Sus scrofa				4	OTHER	pubmed	34676935
PRJEB74747				Denmark	143	AMPLICON	ena_only	
PRJNA1064611	Serrasalmus rhombeus			Brazil: Para	8	WGS	pubmed	39277613
PRJNA1130061	Mus musculus	10090		China: Shanghai	18	AMPLICON	pubmed	41778161
PRJEB101201	pig gut metagenome			Germany	1000	AMPLICON	pubmed	42111294
PRJEB39110	Gallus gallus	9031	Caecum content	Spain	70	WGS	ena_only	
PRJNA945347	Ctenopharyngodon idella	7959		China	36	WGS	pubmed	38167330
PRJNA1270037	Homo sapiens			Korea: Chuncheon	30	RNA-Seq	pubmed	40995227
PRJDB15956	Homo sapiens	9606		Japan:Nagoya	167	WGS	ena_only	
PRJNA384246	Homo sapiens	9606		USA: Boston MA	174	WGS	pubmed	39947133
PRJNA594642	Mus musculus	10090			40	AMPLICON	pubmed	32723789
PRJDB36211	Sus scrofa	9823		missing: data agreement established pre-2023	16	WGS	ena_only	
PRJNA193217	Gallus gallus	9031		United Kingdom: England	1	AMPLICON	pubmed	33868800
PRJEB90470	Mus musculus			China	6	WGA	pubmed	40661966
PRJNA1228348	Trachypithecus francoisi	54180		China: Guangxi	77	RNA-Seq	pubmed	41645099
PRJNA1233322	Mus musculus	10090		USA	80	AMPLICON	pubmed	40235074
PRJNA543206	Gallus gallus	9031		United Kingdom: Surrey	50	WGS	pubmed	33868800
PRJNA343584	Megalobrama amblycephala				13	WGS	ena_only	
PRJNA645511	Gallus gallus	9031		China: Beijing	12	AMPLICON	pubmed	33424783
PRJEB64334	Salmo salar			Norway	904	WGS	pubmed	38294254
PRJNA1416482	Mus musculus			China:Xinjiang	4	RNA-Seq	pubmed	41969653
PRJNA1417531					2	OTHER	pubmed	41969653
PRJNA779845	Gallus gallus	9031		China:Harbin	80	WGS	pubmed	35250914
PRJNA843963	Homo sapiens	9606		Ethiopia	263	WGS	ena_only	
PRJNA734860	Homo sapiens	9606		USA	343	WGS	pubmed	39239875
PRJNA290729	Homo sapiens	9606		Germany	92	WGS	pubmed	30944520
PRJNA1067548	mouse			China:Guangdong, Zhuhai	20	AMPLICON	pubmed	38309691
PRJDB3293	Potamochoerus porcus	273791		Gabon: Nyanga, Mocabe	6	WGS	ena_only	
PRJNA746242	Oryzias latipes	8090		France: Paris	165	AMPLICON	pubmed	37194081
PRJNA630144	Martes zibellina	36722		China: dalian	12	WGS	pubmed	32945998
PRJNA1069876	pig gut metagenome			missing	16	WGS	ena_only	
PRJNA311136	Pristis pectinata	685728			1	WGS	ena_only	
PRJNA723283	Anas platyrhynchos				65	WGS	pubmed	39456444
PRJNA983076	Camelus bactrianus			Germany: Zoo Saarbruecken	67	WGS	ena_only	
PRJEB32407	Cercopithecus ascanius			Uganda	62	AMPLICON	pubmed	31719654
PRJNA741980	Sus scrofa	9823		France: Brittany	28	WGA	ena_only	
PRJNA562600	Homo sapiens	9606		missing	148	WGS	ena_only	
PRJEB23757	Vibrio cholerae				45	WGS	ena_only	
PRJNA748109	Gallus gallus	9031		China:shenzhen	5	WGS	ena_only	
PRJEB103086				Switzerland	25	WGS	ena_only	
PRJNA733503	Crocuta crocuta	9678		Kenya: Masai Mara National Reserve	317	AMPLICON	pubmed	36533929
PRJNA684050	Propithecus coquereli	379532		USA: Duke Lemur Center, Durham NC	58	AMPLICON	ena_only	
PRJNA796172	Sus scrofa	9823		Not collected	48	WGS	ena_only	
PRJNA984334	Mus musculus	10090			538	AMPLICON	pubmed	37620319
PRJEB81554	Mus musculus	10090	UBERON:feces	USA;USA:CA:Pasadena	476	WGS	ena_only	
PRJEB60032	Sus scrofa	9823		France	882	AMPLICON	pubmed	38943206
