study_accession	ena_study_title	ena_study_description	host_final	host_final_from	body_site_final	body_site_final_from	body_site_final_detail
PRJEB32790	The reduction of dextran sulfate sodium-induced colitis severity in mice exposed to cigarette smoke is accompanied by specific gene pathway and microbial shifts	Background and aimsThe impact of cigarette smoke on inflammatory bowel disease has been established by a large number of epidemiological, clinical, and pre-clinical studies. Exposure to cigarette smoke is associated with a higher risk of developing Crohnâs disease but is inversely correlated with the development, disease risks, progression, and relapse rate of ulcerative colitis. Few mechanistic studies have investigated the effect of cigarette smoke on intestinal inflammation and microbial composition.MethodsThree groups of mice were exposed to three different concentrations of cigarette smoke for a total of four weeks, including five days of dextran sulfate sodium treatment to induce colitis and a seven-day recovery period. A comprehensive and integrated comparative analysis of the global colon transcriptome and microbiome, as well as classical endpoints, was performed.ResultsCigarette smoke exposure significantly decreased the severity of induced colitis. Colon transcriptome analysis revealed that cigarette smoke downregulated specific pathways in a concentration-dependent manner, affecting both the inflammatory state and composition of the gut microbiome. Metagenomics analysis demonstrated that cigarette smoke can modulate dextran sulfate sodium-induced dysbiosis of specific bacterial genera, contributing to resolve the inflammation or accelerate recovery.	Mus musculus	biome_label	GUT	sample_fields	gut: gut
PRJEB40424	Analysis_of_porcine__human__and_humanised_gut_strata__to_identify_bacterial_species_and_molecular_determinants_of_hatching_across_Trichuris_Species	richuriasis is a disease caused by infection with Trichuris trichiura, the human whipworm. Trichuriasis has been studied in animal models, in particular the mouse and pig whipworms, T. muris and T. suis, respectively. Experiments using these models indicate a role of the host intestinal microbiota in inducing hatching of whipworm eggs. Specifically, Escherichia coli surface molecules have been shown to play a role in the hatching of T. muris. I hypothesise that the same or similar molecules found in specific conformations on defined members of the host gut microbiota trigger hatching across other Trichuris species, through both physical interaction and enzymatic activity around the polar plugs. I aim to identify parasite and host factors responsible for whipworm hatching using samples from porcine, human, and humanised mice guts to study hatching in T. muris, T. suis, and T. trichiura. I investigated the effect of different fractions of the porcine gastrointestinal tract on hatching of T. suis and T. muris different bacteria reside in the niches found along the gut so I collected mucosal scrapings and luminal contents of the duodenum, ileum, and caecum. I also investigated the effects of human colonic biopsies and human stool samples on hatching of T. trichiura and T.muris. Finally, I am evaluating whether humanised microbiota mice can be used as a tractable model for cultivating T. trichiura in the lab. Through metagenomic analysis on these murine, porcine, and human intestinal samples I plan to get an in depth understanding of the population structure across the gut, and further examine the genomes of candidate microbiota to unravel key bacterial genotypes and phenotypes resulting in the molecular determinants of hatching. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/	Mus musculus; Homo sapiens	biome_label	GUT	sample_fields	gut: gut, rectum
PRJDB36191	Metagenomic anlysis of Af colonization (PRJCA019345)	Detecting the colonization of bacteria Af in the mouse intestine using metagenomic sequencing	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA741822	Genome level reveals that probiotics supplementation can alleviate the clinical symptoms of patients with coronary heart disease	Recently, researchers have attempted to positively steer the development of metabolic functions through targeted administration of specific probiotics, thereby preventing and improving related cardiovascular diseases. We conducted a 6-month randomized, double-blind, placebo-controlled clinical trial. Sixty patients with coronary heart disease were randomly divided into the probiotic group (n=36 Probio-M8, statins lipid-lowering drugs and metoprolol) and placebo group (n=24 placebo, statins lipid-lowering drugs and metoprolol). After 6 months of treatment, the angina pectoris of the placebo and probiotic groups were significantly improved, and the improvement effect of patients in the probiotic group was more obvious. The in-depth metagenomic analysis showed that significantly more species-level genome bins (SGBs) of Bifidobacterium adolescentis, Bifidobacterium animalis, Bifidobacterium bifidum, and Ruminococcaceae bacterium were identified in the fecal metagenomes of the probiotic group, while the abundances of SGBs representing the species Roseburia inulinivorans and Eubacterium sp. CAG:115 decreased significantly.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, stool
PRJNA1389899	Metagenomic sequencing of chicken caecal contents before and after heat stress	Metagenomic sequencing of chicken caecal contents before and after heat stress	Gallus gallus	ena_host_field	GUT	sample_fields	gut: cecum, gut
PRJNA1273701	Rattus norvegicus Raw sequence reads	In this study, we collected large and small intestinal samples from 18 Sprague-Dawley rats before and after infection with Toxoplasma gondii for metagenomic sequencing.	Sprague-Dawley rats	ena_host_field	GUT	sample_fields	gut: gut
PRJEB101827	Chromosomal and mobile antimicrobial resistance genes in the chicken caecal microbiome	The One Health Poultry Hub aims to understand and mitigate the spread of antimicrobial resistance and food-borne pathogens across poultry production systems globally. This umbrella BioProject represents datasets generated by the Royal Veterinary College (RVC) node, including metagenomic, amplicon, and long-read sequencing of poultry microbiomes and related environments. The project forms part of the international One Health Poultry Hub consortium (UKRI GCRF, grant BB/S011269/1) and complements other partner datasets archived at the NCBI, including BioProject PRJNA1224230. Data generated under this umbrella will include raw sequence reads, assemblies, and annotated analyses, forming a comprehensive resource for comparative microbiome and antimicrobial-resistance research. These datasets are part of a paper that investigates chromosomally integrated and mobile antimicrobial resistance genes in the chicken caecal microbiomes from Bangladesh, India and Viet Nam. It includes Nanopore reads (fastq.gz), Illumina reads (fastq.gz) and the Ceacal MAGs (fasta/ ASM).	Gallus gallus domesticus	ena_host_field	GUT	sample_fields	gut: caecal, gut
PRJNA899060	Metagenomic sequencing of antimicrobial treatments chlortetracycline and tiamulin in weaned swine	Whole genome sequencing of feces from antibiotic treated swine for microbiome analyses	Sus scrofa domesticus	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA825121	shrimp gut metagenome Metagenome	Metagenomic analysis revealed the prevalence of antibiotic resistance genes</p><p>in the gut and living environment of freshwater shrimp	shrimp	ena_host_field	GUT	sample_fields	gut: faeces, feces
PRJNA506751	Puffer fish gut Metagenome	Taxonomic composition and functional annotation of puffer fish gut meta genome	fish	biome_label	GUT	sample_fields	gut: gut
