study_accession	ena_study_title	ena_study_description	host_final	host_final_from	body_site_final	body_site_final_from	body_site_final_detail
PRJNA379709	Species and functional composition of gut bacteria from TGF-Beta deficient H. hepaticus positive mice	Raw DNA and RNA sequences from bacterial content of mouse cecum were generated to identify species and functions associated with colorectal cancer.	Mus musculus	ena_host_field	GUT	sample_fields	gut: cecal, gut
PRJNA806482	Microbiome Analysis in Osteoarthritis Rat Model	We investigated the effect and mechanisms of Lactobacillus and butyrate on the development and progression of OA	RAT	ena_host_field	GUT	sample_fields	gut: feces
PRJNA873123	Enzymatically prepared alginate oligosaccharides improve broiler chicken growth performance by modulating the gut microbiota and growth hormone signals	Alginate oligosaccharide (AOS) holds great potential as a novel feed supplement in farm animals. However, the effects of AOS on chicken health and the underlying mechanisms are not fully understood. Here, we cloned and expressed different bacterial alginate lyases in Pichia pastoris GS115 and evaluated the role of the enzymatically prepared AOS in improving chicken health. We found that dietary AOS promoted chicken growth and improved the gut barrier and absorption function. Metagenomic analysis indicated that AOS modulated the chicken gut microbiota structure, function, and microbial interactions and especially promoted the growth of short-chain fatty acid (SCFA)-producing bacteria. Importantly, we demonstrated that AOS can be utilized by Dorea sp. to grow and to produce acetate, which potentially regulates chicken ghrelin and growth-related hormone signals. Overall, for the first time, we established the connections among AOS, chicken gut microbiota/SCFAs, growth hormone signals and chicken growth performance.	Gallus gallus	ena_host_field	GUT	sample_fields	gut: gut
PRJDB9383	Porphyromonas gingivalis impairs glucose uptake in muscle by altering gut microbiota	The aim of present study was to clarify the relationship between periodontal disease and MS. For this purpose, we measured IgG antibody titers to periodontopathic bacteria in MS patients. Based on the results, we then investigated the influence of P.gingivalis infection on glucose metabolism, gut microbiota, steatosis and glucose uptake in mice skeletal muscle. Here we report the metabolic disfunction in skeletal muscle by periodontal bacteria for first report, and suggest a new insight for the influence of periodontal disease in sarcopenia and myopathy.	Mus musculus	ena_host_field	GUT	sample_fields	gut: fecal, gut
PRJNA947387	Effect of water-soluble polysaccharide from Morchella esculenta on high-fat diet-induced obese mice: Changes in gut microbiota and metabolic functions	We identified a regulatory relationship between polysaccharides, gut microbiota, and the liver as a potential mechanism by which polysaccharides can alleviate obesity.	C57BL/6J	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1211805			Sus scrofa	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA820553	metagenome of ancient coprolites	finding the microbiome of ancient feces and reconstructing the surrounding environments.	Equus asinus; bird; herbivore	ena_host_field	GUT	sample_fields	gut: feces
PRJEB41657	HoloFood Salmon Trial A+B Gut Metagenome	Metagenomic raw reads, assemblies, and bins derived from HoloFood salmon gut samples from trial A and B. The samples in this project contributed to the salmon MAG catalogue (project: PRJEB55376 [ERP140265]).	Salmo salar	ena_host_field	GUT	sample_fields	gut: gut
PRJEB70517	Supplementation with the short-chain fatty acid acetate for improving age-associated arterial dysfunction in mice	Our overall purpose is to investigate the efficacy of acetate supplementation for treating age-related arterial dysfunction in mice. We are secondarily interested in the relative efficacy of acetate supplementation compared to consumption of a high-fiber diet. We are interested in determining gut microbiome composition (fecal samples), as acetate supplementation has been shown to increase abundance of acetate-producing bacteria, and high-fiber diets increase abundance of overall SCFA-producing bacteria.	Mus musculus; control sample	ena_host_field	GUT	sample_fields	gut: colon, gut
PRJNA1047964	compost metagenome Raw sequence reads	Study microbial metagenome in compost	Ovis aries	ena_host_field	GUT	sample_fields	gut: feces
PRJEB58441	Hominid host-microbiome co-adaptive response on a leash	Host microbiome interactions are complex and often select for traits that benefit one or both mutualistic partners. Co-adaptive responses emerge from these interactions to increase the fitness of the host, microbiome or both. Here we investigated the evolutionary signature impact on hominidae-microbiome composition and functions that explain host-microbiome co-evolutionary adaptation to different lifestyles (e.g., dietary breakdown, pathogens and antimicrobial resistance). 586 microbiomes from five hominid populations that span different evolutionary steps and lifestyles in Tanzania were characterised using deep-sequencing metagenomics: two urban human populations, hunter-gatherer (Hadza), and two chimpanzee populations. Our results showed host evolutionary trait signatures onto gut microbiome bacteria, viruses, parasites, CAZyme genes, antimicrobial resistance genes and metabolic pathways. Different populations harboured differently abundant bacterial taxa, even at strain phylogenies, and mirrored the host adaptive fitness in the environment to serve the host physiological demands, e.g., pectin degrading bacteria were more abundant in chimpanzee guts compared to others, and fructose fermenting bacteria were more abundant in Hadza guts. Hominid microbiomes also showed varying dietary-derived eukaryotic signals that correspond to the varying bacterial loads to target those dietary intakes (increased fruits and plants in Hadza and chimpanzee guts, respectively). Antimicrobial resistant genes were also more abundant in urban populations where modern medicine (e.g., antibiotics) are more practiced compared to chimpanzees and Hadza populations. Our results show that hominid microbiomes form a tight mutualistic relationship with their hosts that uniformly enhances both partner fitness in nature, and serves the function demands that surfaced during the co-evolutionary course of the association.	Homo sapiens; Pan troglodytes	ena_study_text	GUT	sample_fields	gut: faeces, feces
PRJNA385134	viral metagenome Metagenome	Mouse viral metagenome	Mus musculus	ena_host_field	GUT	sample_fields	gut: feces
PRJEB40719	Crosstalk between Paneth and tuft cells drives dysbiosis and inflammation in the gut mucosa	Gut microbiota imbalance (dysbiosis) is increasingly associated with pathological conditions within and outside of the gastrointestinal tract. Intestinal Paneth cells are considered to be guardians of the gut microbiota but the events linking Paneth cell dysfunction with dysbiosis remain unclear. We report a three-step mechanism for dysbiosis initiation. Initial alterations in Paneth cells, as frequently observed in obese and IBD patients, cause a mild remodeling of microbiota, with amplification of succinate-producing species. SucnR1-dependent activation of epithelial tuft cells triggers a type 2 immune response that, in turn, aggravates the Paneth cell defaults, promoting dysbiosis and chronic inflammation. We thus reveal a novel function of tuft cells in promoting dysbiosis following Paneth cell deficiency, and an unappreciated essential role of Paneth cells in maintaining a balanced microbiota to prevent inappropriate activation of tuft cells and deleterious dysbiosis. This succinate-tuft cell-inflammation circuit may also contribute to the observed patients dysbiosis chronicity.	Mus musculus	biome_label	GUT	sample_fields	gut: gut
PRJNA715658	Genome-resolved metagenomics of the chicken gut microbiome	A total of 751 samples were collected from the gut of male broiler chickens (Ross 308) and investigated through shotgun metagenomic sequencing. Metagenomic assembly and binning was performed to reconstruct 155 metagenomic assembled bacterial genomes with a completeness of at least 80%.	Gallus gallus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1405988	Gut microbiome in PRRS vaccination and infection	This project involves omics sequencing for understanding the role of the microbiota in porcine reproductive and respiratory syndrome (PRRS) after viral vaccination and infection. Faecal samples were collected at different times before the vaccination, after vaccination and before infection, and after infection. It aims at providing detailed data to understand the role of gut microbiota in inmune response.	Sus scrofa	ena_host_field	GUT	sample_fields	gut: gut
PRJNA595610	1898966 Metagenome	Metagenomic characterization of feces from a parasite-infected wether (castrated ram), diagnosed with both Strongyloides and coccidial infection. The goal of the study is a trial to determine optimal depth and method of sequencing for reconstruction of component genomes, combining long-read sequencing and chromatin conformation data.	Ovis aries	ena_study_text	GUT	sample_fields	gut: fecal, feces
PRJDB1459	Metagenome analysis of fecal microbiota from mouse which was promoted longevity, spatial learning and memory	Polyamines (PAs), such as putrescine, Spermidine, and spermine are related with cvarious bioactivity include strong anti-inflammatory function. Increasing PA concentration in intestine using probiotics Bifidobacterium animalis subsp. lactis LKM512 caused inhibition of senescence and enhancing longevity of mice. We found that Arg intake also showed increase PAs concentration especially Putrescine. Mouse intakes Arg and LKM 512 resulted inhibited systemic inflammation, prolonged longevity, promoted spatial learning and memory. Metagenome analysis of intestinal mictobiota in those mice showed that detection of PA synthesis-related gene were different significantly between control and test mice.	Mus musculus	biome_label	GUT	sample_fields	gut: fecal, gut
PRJNA475246	Strain-level identification of mother-to-child bacterial transmission during the first few months of life	Bacterial community acquisition in the infant gut impacts immune education and disease susceptibility. We compared bacterial strains across and within families in a prospective birth cohort of 44 infants and their mothers, sampled longitudinally in the first months of each childâs life. We identified mother-to-child microbial transmission events and describe the incidence of family-specific antibiotic resistance genes. Across multiple species, we identified two inheritance patterns, where often the motherâs dominant strain is transmitted to the child, but occasionally her minor strains colonize the infant gut. We observed both inheritance patterns for Bacteroides uniformis strains. In families where the minor strain was inherited, we identified a starch utilization gene cluster that was absent in the motherâs dominant strain, suggesting the selective advantage of her minor strain in the infant gut. Our findings reveal mother-to-child bacterial transmission events at high-resolution and give insights into early colonization of the infant gut.	Homo sapiens	ena_study_text	GUT	ena_study_text	gut: gut
PRJNA389927	Viral and Bacterial Communities of Colorectal Cancer	Colorectal cancer is the second leading cause of cancer-related death in the United States and is a primary cause of morbidity and mortality throughout the world. Its risk has been linked to changes in colonic bacterial community composition. Viruses are another important component of the colonic microbial community, however they have yet to be studied in colorectal cancer despite their oncogenic potential. We evaluated the colorectal cancer virome (virus community) in stool using a cohort of 90 human subjects with either healthy, adenomatous (precancerous), or cancerous colons. We utilized 16S rRNA gene, whole shotgun metagenomic, and purified virus metagenomic sequencing methods to compare the colorectal cancer virome to the bacterial community. We identified no detectable difference in diversity (alpha or beta) between healthy, adenomatous, or cancerous colonic samples, but more sophisticated random forest models identified striking changes in the virus community. The majority of the cancer-associated virome consisted of temperate bacteriophages, suggesting that the community was indirectly linked to colorectal cancer by modulating bacterial community structure and function. Our data suggested that the influential phages did not exclusively infect influential bacteria, but rather acted through the community as a whole. These results provide foundational evidence that bacteriophage communities are associated with colorectal cancer and likely impact cancer progression by altering the bacterial host communities.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: gut, stool
PRJDB16260	metagenomic data from human fecal samples	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains patients with familial adenomatous polyposis, and healthy subjects.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA782061	Gut microbiome of grass carp (EX/WT)	Differences in the intestinal microbiota between diseased and healthy grass carp (EX/WT)	Ctenopharyngodon idella	ena_host_field	GUT	sample_fields	gut: gut
PRJNA398089	Longitudinal Multiâomics of the Human Microbiome in Inflammatory Bowel Disease	The main Inflammatory Bowel Disease (IBD) Multi'omics Database (IBDMDB) study includes multiâomics measurements from over 100 subjects, sampled biweekly over up to a year in both adult and pediatric patients with IBD (Crohnâs disease and ulcerative colitis), along with non-IBD controls. Data types include fecal metagenomes, metatranscriptomes, metabolomes, and proteomes, as well as host genetics, intestinal biopsy transcriptomes, epigenetics, and 16S amplicon profiles. Subjectsâ medical histories and demographics are collected at baseline and medication, diet, and disease activity profiled longitudinally.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: cecum, colon, gut, ileum, rectum, stool
PRJNA1108401	Bacterial community of intestine Metagenome infected by Aeromonas veronii Metagenome	To investigate the effect of Aeromonas veronii on bacterial community in the intestine	fish	biome_label	GUT	sample_fields	gut: gut, intestine
PRJNA903767	Anthropogenic disturbance promotes the diversification of antibiotic resistance genes and virulence factors in the gut of plateau pikas (Ochotona curzoniae)	This study investigates the composition and functional pathways of bacteria, ARGs, and VFs in the gut microbiome of Plateau pikas in regions of medical pollution (MPR), heavy tourist traffic (HTR), and no contamination (NCR).	Ochotona curzoniae	ena_host_field	GUT	sample_fields	gut: feces
PRJNA926485	Shotgun metagenomics sequences of colonic microbiome in of pig models for ulcerative colitis	Pigs were challenged with Dextran Sulfate Sodium and B. pilosicoli pathogen to simulate ulcerative colitis in pigs.	Sus scrofa domesticus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1283350	Metagenome	The composition and function of the intestinal microbiota in broiler chickens were studied through metagenomic sequencing.	Gallus gallus	ena_study_text	GUT	ena_study_text	gut: intestinal
PRJEB77930	Intestinal plant polysaccharide metabolism genes of plateau pika	Metagenomics was used to investigate the microbial groups and metabolic genes related to plant polysaccharide metabolism in the intestinal tract of plateau pika.	Ochotona curzoniae	ena_study_text	GUT	sample_fields	gut: gut
PRJEB50555	Targeted suppression of human IBD-associated gut microbiota commensals for treatment of intestinal inflammation	Human gut commensals are increasingly suggested to impact non-communicable diseases, such as inflam- matory bowel diseases (IBDs), yet their targeted suppression remains a daunting unmet challenge. In four geographically distinct IBD cohorts (n = 537), we identify a clade of Klebsiella pneumoniae (Kp) strains, featuring a unique antibiotics resistance and mobilome signature, to be strongly associated with disease exacerbation and severity. Transfer of clinical IBD-associated Kp strains into colitis-prone, germ-free, and colonized mice enhances intestinal inflammation. Stepwise generation of a lytic five-phage combination, tar- geting sensitive and resistant IBD-associated Kp clade members through distinct mechanisms, enables effective Kp suppression in colitis-prone mice, driving an attenuated inflammation and disease severity. Proof-of-concept assessment of Kp-targeting phages in an artificial human gut and in healthy volunteers demonstrates gastric acid-dependent phage resilience, safety, and viability in the lower gut. Collectively, we demonstrate the feasibility of orally administered combination phage therapy in avoiding resistance, while effectively inhibiting non-communicable disease-contributing pathobionts.	Homo sapiens	biome_label	GUT	sample_fields	gut: gut
PRJNA1227753	mouse gut metagenome Raw sequence reads	We aimed to investigate the role of Shenling Baizhu Powder in asthma and its association with the gut microenvironment.	mice	ena_host_field	GUT	sample_fields	gut: gut
PRJNA631951	Cattle rumen metagenome	Metagenomic analysis of rumen microbiota attached to feed particulates	Bos	ena_host_field	GUT	sample_fields	gut: gut, rumen
PRJEB74042	METHOD	Large variability exists in people's responses to foods. A randomised controlled trial was conducted to investigate the impact of a personalised dietary programme (intervention) in comparison general advice (control) on cardiometabolic health. The personalised dietary programme used food characteristics, individual postprandial glucose and triglyceride responses to foods, microbiomes, and health history, to produce personalised food scores in an 18-week app-based programme. The control group received standard care dietary advice (USDA Guidelines for Americans, 2020-2025) using online resources, check-ins, video lessons and a leaflet. Primary outcomes were serum low-density lipoprotein cholesterol (LDL-C) and triglyceride concentrations at baseline and 18-weeks. ClinicalTrials.gov identifier: NCT05273268.	Homo sapiens	ena_study_text	GUT	sample_fields	gut: gut
PRJNA660443	Metagenome sequencing of the human gut during enteric infection	Metagenome sequences of human stool from patients infected with Campylobacter and healthy controls	Homo sapiens	ena_host_field	GUT	sample_fields	gut: gut
PRJNA951897	fecal metagenome of finishing pigs	fecal metagenome of finishing pigs	Sus scrofa	ena_study_text	GUT	sample_fields	gut: feces
PRJNA695396	Bighead carp intestinal 16S rRNA gene sequencing	High-throughput 16S rRNA gene sequencing (MiSeq platform, Illumina) was perfomed to study the fish intestinal microbiomes community profile.	Hypophthalmichthys nobilis	ena_host_field	GUT	sample_fields	gut: gut, intestinal
PRJNA822495	pancrustacean metagenome Metagenome	Metagenomic analysis revealed the prevalence of antibiotic resistance genes</p><p>in the gut and living environment of freshwater shrimp	shrimp	ena_host_field	GUT	sample_fields	gut: faeces, feces
PRJNA744213	Systems genetics approaches uncover microbe-lipid-host connections	We used the Diversity Outbred (DO) stock, a population of genetically diverse mice derived from eight founder strains to characterize the fecal metagenomes and lipid profiles and further dissect the connections between host genetic variations, gut microbial features and gut lipid level using quantitative traits loci (QTL) analysis.	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA788972	Interactions between human gut microbiome dynamics and sub-optimal health symptoms during seafaring expeditions	Microbial signature of multiple physical and psychological symptoms in a 135 days oceangoing voyage Metagenome	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJEB39465	Impact of 6-Month Exposure to Aerosols from Potential Modified Risk Tobacco Products Relative to Cigarette Smoke on the Rodent Gastrointestinal Tract	The impact of two candidate modified risk tobacco products (CMRTP) relative to cigarette smoke (CS), as well as the effect of cessation or switching to a CMRTP, was investigated in a 6-month APOE mouse exposure study. The cardiovascular disease end point data have already been published, and here we present the findings on the gut-related endpoints. We used an extensive shotgun microbiome DNA sequencing approach to perform taxonomic profiling of digesta and excreta, as well as host RNA sequencing to characterize the transcriptional effects on the cecum. The effects in CS exposed mice relative to control mice included significant gene dysregulation and an increase in the abundance of mucus-related bacteria. The key taxonomic changes are reversed upon cessation. Switching to a CMRTP exposure caused an increase in the Lactobacillaceae. This is one of very few studies investigating changes to the mouse gut microbiome in response to long-term smoke and aerosol exposure.	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1125130	Changes in intestinal flora before and after horse racing	Macro-genome sequencing analysis in an attempt to derive the dynamics of gut microbes before and after ah steeplechase races in horse racing grounds.	Equus caballus	ena_host_field	GUT	ena_study_text	gut: gut, intestinal
PRJNA909453	intestinal microbial community diversity	Dysbiosis of gut microbiota and activity of KYN pathway as potential biomarkers in patients with major depressive disorder	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1141391	Integrating metagenomics with metabolomics for gut microbiota and metabolites profiling in acute pancreatitis	Acute pancreatitis (AP) is an inflammatory disease of the pancreas. Despite of a steadily increasing in morbidity and mortality, there is still no effective therapy. Gut microbial dysbiosis and its derived-metabolites disorder have been shown to play an important role in the development of AP, however, little is known regarding the crosstalk between gut microbiota and metabolites. In this study, we assessed the alterations in gut microbiota and metabolites by constructing three AP mouse models by means of metagenomic and metabolomic sequencing, and further clarified their relationship by correlation analysis. The results revealed that each model exhibited unique flora and metabolite profiles. KEGG analysis showed that the differential flora and metabolite-enriched pathway functions were correlated with lipid metabolism and amino acid metabolism. Moreover, two core differential bacterial species on Burkholderiales bacterium YL45 and Bifidobacterium pseudolongum along with eleven differential metabolites appeared to exert certain effects during the course of AP. In conclusion, further exploration of the crosstalk between microbiota and derived metabolites may provide novel insights and strategies into the diagnosis and treatment of AP.	Mus musculus	ena_host_field	GUT	ena_study_text	gut: gut
PRJNA863566	Microbiome analysis of NOD mice	The purpose of this study was to investigate changes in the intestinal microbiome according to the age of NOD mice.	mice	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1148062	Porcine intestinal flora	To study the effect of vomitoxin on the intestinal microbiota of pigs	Porcine	ena_host_field	GUT	sample_fields	gut: gut, intestinal
PRJEB29152	CaPES	Patient infected with carbapenem resistant bacteria	unknown	none	GUT	sample_fields	gut: gut
PRJNA865396	Metagenomic analysis of gut microbiota in Eriocheir sinensis	we aimed to explore the intestinal flora changes in Eriocheir sinensis after 48 h of infection with Metschnikowia bicuspidata through metagenomic analyses.	Eriocheir sinensis	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA906507	Taxonomic and metagenomic analyses define the development of the microbiota in the chick	Chicks are an ideal model to follow the development of the intestinal microbiota and to understand how a pathogen perturbs this developing population. Using taxonomic and metagenomic analyses we captured the development of the chick microbiota to 19 days post-hatch in unperturbed chicks and in chicks infected with Salmonella enterica serotype Typhimurium (STm). We show that normal development of the microbiota takes place in waves, and is altered in the presence of a pathogen. Metagenomics and metabolomics suggested that branched chain amino acid biosynthesis is especially important for Salmonella growth in the infected chick intestine. Salmonella mutants unable to make L-isoleucine and L-valine colonize the chick intestine poorly. Restoration of the pathway for biosynthesis of these amino acids restored the colonizing ability of Salmonella. Integration of multiple analyses allowed us to correctly identify biochemical pathways used by Salmonella to establish a niche for colonization in the chick intestine during development.	Gallus gallus	ena_host_field	GUT	sample_fields	gut: cecum, gut
PRJNA1011357	Description of the viral community in fecal content of common carp (Cyprinus carpio) living in a naturally preserved wetland on Mexican plateau	The aim is to whole description of viral community belong common carp (Cyprinus carpio), which lives in a naturally preserved wetland on Mexican plateau	Cyprinus carpio	ena_host_field	GUT	sample_fields	gut: gut, stool
PRJDB6503	Method assessment of fecal DNA extraction	Method assessment of DNA extraction from 3 adults feces (Ogata et al). The shotgun genome sequence was carried out using MiSeq (illumina).	Homo sapiens	ena_host_field	GUT	sample_fields	gut: gut
PRJNA935053	Utilizing next-generation sequencing to identify prey DNA in Erythroculter erythropterus	Changes in food resources of Erythroculter erythropterus before and after estuary opening	Chanodichthys erythropterus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA656389	Metagenomic sequencing of the digestive tract of buffalo	Metagenomic sequencing of the digestive tract of buffalo	Bubalus bubalis	ena_host_field	GUT	sample_fields	gut: cecum, colon, feces, gut, jejunum, rumen
PRJEB58265	Mammals show distinct functional gut microbiome dynamics to identical series of environmental stressors	The lability of the gut microbiome has been posited as an additional axis of animalsâ phenotypic plasticity. However, whether and how such plasticity varies across hosts with different biological features remains unclear. Usinggenome-resolved metagenomics coupled joint-species distribution modelling, we compared how the taxonomic, phylogenetic and functional microbial dynamics varied across a series of disturbances in two mammals: the insectivorous-specialist Crocidura russula and the omnivorous-generalist Apodemus sylvaticus. Although microbiome alpha diversity of both species remained stable, C. russula exhibited substantially higher variability and directionality of microbial responses than A. sylvaticus. Our results indicate that the intrinsic properties (e.g., diversity, functional redundancy) of microbial communities coupled with physiological attributes (e.g., thermal plasticity) of hosts shape the taxonomic, phylogenetic, and functional response of gut microbiomes to environmental stressors, which might influence their contribution to the acclimation and adaptation capacity of animal hosts.	Apodemus sylvaticus; Crocidura russula	ena_study_text	GUT	ena_study_text	gut: gut
PRJEB7774	Gut microbiome development along the colorectal adenoma-carcinoma sequence	Colorectal cancer, a commonly diagnosed cancer in the elderly, often develops slowly from benign polyps called adenoma. The gut microbiota, with its critical roles in nutrient metabolism and immune modulation, is believed to be directly involved in colorectal carcinogenesis. The identity and functional capacity of the adenoma- or carcinoma-related gut microbe(s), however, have not been surveyed in a comprehensive manner. Here we perform metagenomewide association study (MGWAS) on stools from healthy controls, advanced adenoma and carcinoma patients, revealing gene markers from over 100 bacterial strains enriched in each group.	Homo sapiens	biome_label	GUT	sample_fields	gut: gut, stool
PRJNA574033	Uncovering bifidobacteria via targeted sequencing of the mammalian gut microbiota	Whole metagenome shotgun targeted sequencing of the genus Bifidobacterium among the gut microbiota of mammals.	Hexaprotodon liberiensis; Homo sapiens	ena_host_field	GUT	ena_study_text	gut: gut
PRJNA564888	Boosting natural history research via metagenomic clean-up of crowdsourced faeces	Metagenomes of small mammals	Callosciurus notatus; Rattus tanezumi; Sundamys annandalei; Tupaia glis	ena_host_field	GUT	sample_fields	gut: feces
PRJNA293646	Chicken, pig and cattle gut microbiome raw sequence reads	To characterize the antibiotic resistance genes in the food animal gut microbiomes and to compare these resistance genes with human gut microbiome	Bos; Gallus gallus; Sus scrofa	ena_host_field	GUT	sample_fields	gut: gut, stool
PRJEB79635	faecal microbiomes of great tits and blue tits	Short-read sequencing of five faecal samples generated a metagenomic dataset, revealing substantial variation in composition between samples. Reference-based profiling identified key differences in the ratios of reads assigned to host, diet, and microbes.	bird	biome_label	GUT	sample_fields	gut: faecal
PRJEB70928	Shotgun Metagenomic sequencing of Macaca Mulatta with chronic intermittent diarrhea and healthy control monkeys	Chronic diarrhea is a common cause of mortality and morbidity in captive rhesus macaques (Macaca mulatta). In recent years, many studies have investigated the influence of diet on microbiome in non-human primates (NHP) In this study, for the first time, we used machine learning of the metagenome composition of longitudinal acquired fecal samples of rhesus macaques with chronic intermittent diarrhea and clinically healthy rhesus macaques to differentiate between intestinal microbiome signatures associated with animals having mild to profuse diarrhea and animals with normal stool over the time of two years.	Macaca mulatta	ena_study_text	GUT	sample_fields	gut: fecal
PRJNA1046219	Poultry farm metagenome	Metagenomic data of environmental samples in duck farms.	feces; freshwater; soil	ena_host_field	GUT+OTHER	sample_fields	gut: feces; other: freshwater, soil
PRJEB55711	SLE virome	Systemic lupus erythematosus (SLE) is a systemic autoimmune disease that has been linked to the dysbiosis of the gut microbiome and virome. However, the potential characterization of the gut virome in SLE patients needs to be unexplored more extensively. Herein, we analyzed the gut viral community of 16 SLE patients and 31 healthy controls using both bulk and virus-like particle (VLP)-based metagenomic sequencing of their fecal samples. A total of 15,999 non-redundant viral operational taxonomic units (vOTUs) were identified from the metagenomic assembled contigs and used for gut virome profiling.	Homo sapiens	biome_label	GUT	sample_fields	gut: gut
PRJNA915251	Microbial diversity and resistance in faecal samples from acute medical patients assessed through metagenomic sequencing	In this study, we aimed to test the hypothesis that substantial differences in hospital-level use of antibiotics will result in detectable differences in the faecal resistome of patients treated at those hospitals.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces
PRJEB5224	An integrated catalog of reference genes in the human gut microbiome	The gut microbiota is key to human health and disease. Metagenome-wide association studies (MGWAS) that search for disease markers in the gut microbiota, species identification according to metagenomic linkage groups (MLGs) or metagenomic clusters (MGCs), and metatranscriptomics or metaproteomics studies, all depend on a reference gene catalog, which has only been available for individual cohorts or based on reference genome or protein sequences. Here we report a high-quality integrated reference gene catalog consisting 9,879,896 genes, using 6.4 TB sequencing data derived from 1267 published and unpublished human gut metagenomes from three continents. The catalog represents a comprehensive collection of common and rare species, genes and genetic variants, and suggests individuality in the human gut microbiota. Analyses of a group of Chinese and Danish samples using the catalog revealed country-specific signatures in nutrient and xenobiotic metabolism. Our data suggest that interventions on nutrition, pollution and epidemiology should be tailored to the gut microbiota of a given population or even personalized for an individual.	Homo sapiens	biome_label	GUT	sample_fields	gut: gut, stool
PRJEB102170	Gut microbiome of toddlers up to 12 months of age	will be added as soon as the first draft of manuscript will be finalized	Homo sapiens	ena_study_text	GUT	sample_fields	gut: gut
PRJNA590585	Feces sample of plateau pika and yak Metagenome	Gut microbiota of sympatric plateau pika and yak	plateau pika; yak	ena_host_field	GUT	sample_fields	gut: gut
PRJNA728379	Metagenome of pig fecal bacteria	Analyze the bacteria and antibiotic resistance gene in pig fecal in China	Sus scrofa	ena_study_text	GUT	sample_fields	gut: feces
PRJNA738554	The influence of the low-iron diet and the protective effect of Lactobacillus casei Zhang from the perspective of gut microbiota	Nutritional iron deficiency is a health problem faced by many developing countries. Now there are many schemes about the iron supplement, among them, the research about adjusting iron homeostasis by probiotics is worthy of attention. We decided to use metagenomics to reveal the effect of a low-iron diet on the structure and function of mice gut microbes, combined immune technology to investigate the inflammation of mice, as well as found the effect of Lactobacillus casei Zhang intervention on mice under the background of a low-iron diet. The results of the study showed that the LCZ can regulate the structure and function of the gut microbiota, demonstrates higher bacterial diversity, and up-regulates the metabolic pathways of B vitamins, in addition to the above effects, the LCZ group shows significantly lower levels of IL-18 pro-inflammatory factors compared to the low-iron diet froup. Our study demonstrated that LCZ has potential probiotic effects on the disorder of gut microbiota structure and function caused by a low-iron diet.	C57BL/6 mouse	ena_host_field	GUT	sample_fields	gut: feces, stool
PRJNA1268041	Effects of Lactobacillus plantarum and Saccharomyces cerevisiae, alone or in combination, on growth performance, antioxidant status, immune response, and intestinal health in weaned piglets	This study investigated the effects of dietary supplementation with Lactobacillus plantarum (LP), Saccharomyces cerevisiae (SC), and their combination (MIX) on growth performance, antioxidant capacity, immune parameters, and gut microbiota composition in weaned piglets.Currently, most studies focus solely on the individual effects of Lactobacillus plantarum or Saccharomyces cerevisiae on animal growth performance and health, lacking systematic evaluation of their combined application. This study will compare the individual and combined supplementation of L. plantarum and S. cerevisiae in weaned piglets, aiming to provide theoretical foundations for developing novel fermented feed additives and advance antibiotic-free farming technologies.	Sus scrofa	ena_host_field	GUT	sample_fields	gut: gut
PRJNA721002	dog and human metagenome	fecal metagenome from dogs and their owner in families and dogs in kennles.	Canis familiaris; Homo sapiens	ena_study_text	GUT	sample_fields	gut: fecal, feces
PRJDB36556	The gut DNA viromes in wild Large-billed Crows and Northern Ravens (PRJCA039217)	Metagenomic sequencing based methods targeting DNA of virus-like particles enriched from the feces were used in this study to characterize the gut DNA viromes of wild Large-billed Crows and Northern Ravens.	Corvus corax; Corvus macrorhynchos	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1060362	Bacterial community of intestine Metagenome Metagenome	Inveatigate the changes in bacterial community structure of intestine after fed with microplastics	fish	biome_label	GUT	sample_fields	gut: gut, intestinal, intestine
PRJDB15857	Changes in the gut microbiome associated with domestication of mice	To understand the impact of mice tameness behaviour selection over multiple generations on the gut microbiome, we did shot metagenome sequencing of 80 samples.	Mus musculus	ena_host_field	GUT	sample_fields	gut: feces, gut
