input_raw,pubmed_url,pmid,pmcid,is_pmc_article,accessions,accession_count,title,journal,pub_year,doi,authors,error_message
39947133,https://pubmed.ncbi.nlm.nih.gov/39947133/,39947133,PMC12268991,true,PRJEB1220;PRJEB15371;PRJEB2054;PRJEB35587;PRJEB5224;PRJNA1148165;PRJNA1148167;PRJNA237362;PRJNA321058;PRJNA354235;PRJNA384246;PRJNA385949;PRJNA389280;PRJNA398089;PRJNA400072;PRJNA429990;PRJNA487636;PRJNA532645;PRJNA685168;PRJNA942468;SRP057027,21,A meta-analysis of the gut microbiome in inflammatory bowel disease patients identifies disease-associated small molecules.,Cell host & microbe,2025,10.1016/j.chom.2025.01.002,Elmassry MM; Sugihara K; Chankhamjon P; Kim Y; Camacho FR; Wang S; Sugimoto Y; Chatterjee S; Chen LA; Kamada N; Donia MS,
39945541,https://pubmed.ncbi.nlm.nih.gov/39945541/,39945541,PMC11934335,true,PRJEB79102,1,Abundance of clinically relevant antimicrobial resistance genes in the golden jackal (Canis aureus) gut.,mSphere,2025,10.1128/msphere.00819-24,Lapid R; Motro Y; Craddock H; Salah I; King R; Winner K; Kahila Bar-Gal G; Moran-Gilad J,
39939365,https://pubmed.ncbi.nlm.nih.gov/39939365/,39939365,PMC11822208,true,PRJNA732391,1,Comparing the impact of landscape on the gut microbiome of Apis mellifera in Atlantic Forest and Caatinga Biomes.,Scientific reports,2025,10.1038/s41598-025-85114-y,Soares KO; Da Rocha TF; Hale VL; Vasconcelos PC; do Nascimento LJ; da Silva NMV; Rodrigues AE; de Oliveira CJB,
39938754,https://pubmed.ncbi.nlm.nih.gov/39938754/,39938754,,false,,0,Gut microbiome composition changes in obstructive sleep apnoea syndrome also in relation to excessive daytime sleepiness.,Brain research bulletin,2025,10.1016/j.brainresbull.2025.111251,Fernandes M; Palmieri O; Castellana S; Spanetta M; Latiano T; Lupo C; De Masi C; Cardile C; Calvello C; Izzi F; Placidi F; Mazza T; Mercuri NB; Latiano A; Liguori C,
39938449,https://pubmed.ncbi.nlm.nih.gov/39938449/,39938449,,false,,0,The impact of sleeve gastrectomy on MASH development by regulating the composition of gut microbiota and metabolic homeostasis.,Biochemical and biophysical research communications,2025,10.1016/j.bbrc.2025.151466,Ye L; Yao Z; Xuan Q; Liu Q; Bo T,
39933221,https://pubmed.ncbi.nlm.nih.gov/39933221/,39933221,,false,,0,Gut microbiota causes depressive phenotype by modulating glycerophospholipid and sphingolipid metabolism via the gut-brain axis.,Psychiatry research,2025,10.1016/j.psychres.2025.116392,Cao Y; Fan X; Zang T; Li Y; Tu Y; Wei Y; Bai J; Liu Y,
39931490,https://pubmed.ncbi.nlm.nih.gov/39931490/,39931490,PMC11808722,true,PRJNA1123460,1,Characterization and comparison of gut microbiota in patients with acute pancreatitis by metagenomics and culturomics.,Heliyon,2025,10.1016/j.heliyon.2025.e42243,Gong L; Li X; Ji L; Chen G; Han Z; Su L; Wu D,
39930446,https://pubmed.ncbi.nlm.nih.gov/39930446/,39930446,PMC11808984,true,,0,Oral microbiota shifts following tooth loss affect gut health.,BMC oral health,2025,10.1186/s12903-025-05581-7,Dong L; Ji Z; Hu J; Jiang Q; Wei W,
39925879,https://pubmed.ncbi.nlm.nih.gov/39925879/,39925879,PMC11806679,true,,0,Metagenomic Sequencing Combined with Metabolomics to Explore Gut Microbiota and Metabolic Changes in Mice with Acute Myocardial Infarction and the Potential Mechanism of Allicin.,"Drug design, development and therapy",2025,10.2147/DDDT.S504884,Gao Y; Qin G; Liang S; Yin J; Wang B; Jiang H; Liu M; Luo F; Li X,
39920864,https://pubmed.ncbi.nlm.nih.gov/39920864/,39920864,PMC11804086,true,PRJNA1061151,1,Bacterial community assembly of specific pathogen-free neonatal mice.,Microbiome,2025,10.1186/s40168-025-02043-8,Kennedy EA; Weagley JS; Kim AH; Antia A; DeVeaux AL; Baldridge MT,
