study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	is_animal	title
PRJNA612780	Homo sapiens			Pakistan:Peshawar	26	WGS	True	Comparative fecal microbiota characterization and antimicrobial resistance pattern in human and poultry
PRJDB36334	Cervus albirostris	1088058		missing: data agreement established pre-2023	114	WGS	True	Comparative Macrogenomics Reveal Plateau Adaptation of Gut Microbiota in Cervids (PRJCA031028)
PRJNA902117	Gallus gallus	9031		Canada: Alberta	33	WGS	True	Seven-day-old commercial chicken gut microbiome (shotgun metagenomic sequencing reads) raw sequence reads
PRJNA873123	Gallus gallus	9031		China: Hebei,Zhuozhou	32	WGS	True	Enzymatically prepared alginate oligosaccharides improve broiler chicken growth performance by modulating the gut microbiota and growth hormone signals
PRJNA562600	Homo sapiens	9606		missing	148	WGS	True	Multi-omic analysis of Clostridioides difficile infection and response to therapy in pediatric inflammatory bowel disease
PRJNA1050657	Chroicocephalus ridibundus	1192867		China: Kunming	5	WGS	True	Feces of Larus ridibundus Centrifuge sediment of freshwater Raw sequence reads
PRJEB84922	Mus musculus	10090		Germany:Braunschweig;Germany	471	AMPLICON	True	SPF Mice were transplanted with wildling microbiota and characterized regarding microbiome composition and immune functionality
PRJNA658643	Gallus gallus	9031		China:Yangzhou	9	WGS	True	Gut Microbiome Sequencing Result of Arbor Acres Broilers
PRJNA730677	Homo sapiens	9606		Israel: Tel-Aviv	70	WGS	True	Genomic adaptations of Escherichia coli strains from patients with inflammatory bowel diseases
PRJDB6503	Homo sapiens	9606		Japan	30	WGS	True	Method assessment of fecal DNA extraction
PRJNA628114	Mus musculus	10090		China:Nanjing	42	WGS	True	mouse gut metagenome Raw sequence reads
PRJDB20643	Homo sapiens	9606		Japan:Tokyo	5	WGS	True	Optimization of qPCR diagnosis for Entamoeba histolytica by ddPCR
PRJDB18316	Homo sapiens	9606		Japan	166	WGS	True	Association between polygenic risk score for prostate cancer and the gut microbiota
