run_accession	study_accession	scientific_name	host_scientific_name	host_tax_id	library_source	library_strategy	_clade	_tier
ERR196170	PRJEB3384	Eudyptula minor	Eudyptula minor	37083	METAGENOMIC	AMPLICON	Penguins	species
SRR22881774	PRJNA437674	metagenome	Eudyptula minor	37083	METAGENOMIC	AMPLICON	Penguins	species
ERR4657875	PRJEB40660	Spheniscus magellanicus	Spheniscus magellanicus	37081	METAGENOMIC	RNA-Seq	Penguins	species
SRR24581845	PRJNA972831	bird metagenome	Spheniscus magellanicus	37081	METAGENOMIC	AMPLICON	Penguins	species
SRR32416737	PRJNA1225745	metagenome	Spheniscus magellanicus	37081	METAGENOMIC	AMPLICON	Penguins	species
SRR9161222	PRJNA544469	gut metagenome		37081	METAGENOMIC	AMPLICON	Penguins	species
SRR13341099	PRJNA689088	feces metagenome	Pygoscelis papua	30457	METAGENOMIC	AMPLICON	Penguins	species
SRR36086900	PRJNA1359116	gut metagenome	Pygoscelis papua	30457	METAGENOMIC	AMPLICON	Penguins	species
SRR24915820	PRJNA983076	feces metagenome	Spheniscus humboldti	9240	METAGENOMIC	WGS	Penguins	species
DRR531588	PRJDB17206	feces metagenome	Pygoscelis adeliae	9238	METAGENOMIC	AMPLICON	Penguins	species
SRR10136532	PRJNA566128	feces metagenome	Pygoscelis adeliae	9238	METAGENOMIC	AMPLICON	Penguins	species
SRR7614690	PRJNA481090	feces metagenome	Pygoscelis adeliae	9238	METAGENOMIC	AMPLICON	Penguins	species
SRR6378197	PRJNA422502	insect gut metagenome	Ruptitermes nr. xanthochiton	3472100	METAGENOMIC	AMPLICON	Termites and cockroaches	species
