KEEP	status	first_author	year	host_phylum	host_class	host_order	host_family	host_genus	host_common_name	n_host_species	host_species_list	country	continent	country_source	body_sites	n_shotgun_gut_samples	library_strategy_mix		fulltext_link	doi	journal	title	shotgun_decision	isolate_assessment	manual_note		host_species	accessions	fulltext_link	study_uid	Sam_approve	reason	ENA_variable?	
																											Balaenoptera acutorostrata	PRJEB23642			Yes	minke whale	"Colon" in Sample Title is what we want	
																											Felis catus	PRJEB9357	https://doi.org/10.1371/journal.pone.0144881		Yes	cat		
																											Neotoma albigula, Neotoma stephensi and Centrocercus urophasianus	PRJNA336354	https://academic.oup.com/femsec/article/94/12/fiy184/5092587		Yes	woodrat, grouse	we want woodrat, "Host" ena column will denote two woodrat hosts Neotoma albigula, Neotoma stephensi	
																											Strigops habroptilus	PRJNA381379	https://dx.doi.org/10.1038%2Fs41598-018-26484-4		Yes	kakpo	we want "Adult" in Experiment title and "Gut metagenome" in Study Title	
																											Cebus capucinus imitator	PRJNA485217	https://doi.org/10.1038/s41396-018-0256-0		Yes	capuchin	we want the WGS samples	
																											Diceros bicornis	PRJNA532626	https://doi.org/10.1038/s41598-019-43875-3		Yes	black rhino	we want "dev stage" column to equal "SAd" which is sexually active and not "Juvenile"	
																											Sus scrofa	PRJEB11755	https://doi.org/10.1038/nmicrobiol.2016.161		Yes	pig, 2016 but seems high quality		
Y	keep	Zhao G	2023	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	domestic cattle	1	snub nosed	China	Asia	paper(China)/ena(USA)	gut(681); feces(16)	22	AMPLICON:764; WGS:22		https://doi.org/10.1186/s12864-023-09142-6	10.1186/s12864-023-09142-6	BMC Genomics	Gut microbiome variations in Rhinopithecus roxellanae caused by changes in the environment.	KEEP_has_WGS	community_metagenome			snub nosed monkey	PRJNA438833	https://doi.org/10.1186/s12864-023-09142-6	ZhaoG2023_115	No	snub-nosed monkey		
Y	keep	Rajeev M	2024	Chordata	Mammalia	Primates	Hominidae	Homo	human	1	Homo sapiens(156)	Austria	Europe	ena	feces(156)	1	WGS:521		https://doi.org/10.1007/s12275-024-00187-0	10.1007/s12275-024-00187-0	J Microbiol	Rhodobacteraceae are Prevalent and Ecologically Crucial Bacterial Members in Marine Biofloc Aquaculture.	KEEP_has_WGS	community_metagenome	Marine biofloc aquaculture paper; resolved accessions are entirely cited data (156 human gut + deep-sea vent + isolates), none its own — treat as off-topic.		Homo sapiens	PRJEB7774; PRJNA288027; PRJNA522654	https://doi.org/10.1007/s12275-024-00187-0	RajeevM2024_009	No			
Y	keep	Guajardo-Leiva S	2023	Chordata	Mammalia	Carnivora	Otariidae	Otaria	South American sea lion	1	Otaria byronia(30)	USA	North America	paper(USA)/ena(Chile)	feces(30)	30	WGS:30		https://doi.org/10.1128/mra.00183-23	10.1128/mra.00183-23	Microbiol Resour Announc	Fecal Metagenomes and Metagenome-Assembled Genomes from the South American Sea Lion (Otaria flavescens) from the Comau Fjord (42°S), Patagonia.	KEEP_has_WGS	community_metagenome			Otaria byronia	PRJNA735411	https://doi.org/10.1128/mra.00183-23	GuajardoLeivaS2023_011	Yes	sea lions		
Y	keep	Zhang D	2025	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	golden snub-nosed monkey	1	Rhinopithecus roxellana(40)	China	Asia	ena	feces(40)	40	WGS:40		https://doi.org/10.1038/s41522-025-00836-1	10.1038/s41522-025-00836-1	NPJ Biofilms Microbiomes	Multi-omic profiling reveals distinct gut microbial and metabolic landscapes in golden snub-nosed monkeys under contrasting conservation strategies.	KEEP_has_WGS	community_metagenome	Real accession from Data Availability = PRJNA436633 (40 WGS Rhinopithecus roxellana gut). GCA_000769185.1 was only used for host-read removal.		Rhinopithecus roxellana	PRJNA436633	https://doi.org/10.1038/s41522-025-00836-1	ZhangD2025_117	No			
Y	keep	Zhang M	2025	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	golden snub-nosed monkey	1	Rhinopithecus roxellana(85)	China	Asia	ena	feces(85)	85	WGS:85		https://doi.org/10.1038/s41522-025-00806-7	10.1038/s41522-025-00806-7	NPJ Biofilms Microbiomes	Plasticity of the gut microbiome of golden snub-nosed monkeys (Rhinopithecus roxellana) in response to seasonal variation in diet.	KEEP_has_WGS	community_metagenome	Golden snub-nosed monkey (Rhinopithecus roxellana) FECES; GSA CRA023365 (under PRJCA023520) = 85 WGS metagenomes, NovaSeq, ~2.9 GB/sample = shotgun. Injected via add_gsa_to_raw.py (synthetic per-sample IDs; real CRR in GSA).		Rhinopithecus roxellana	CRA023365; PRJCA023520	https://doi.org/10.1038/s41522-025-00806-7	ZhangM2025_114	No			
Y	keep	Wang C	2025	Chordata	Reptilia	Crocodylia	Alligatoridae	Alligator	Chinese alligator	1	Alligator sinensis(12)	China	Asia	paper+ena	feces(12)	12	WGS:12		https://doi.org/10.1002/ece3.71221	10.1002/ece3.71221	Ecol Evol	Multi-Omics Analysis of Gut Microbiome and Host Metabolism in Different Populations of Chinese Alligators (alligator sinensis) During Various Reintroduction Phases.	KEEP_has_WGS	community_metagenome	ALLIGATOR study; data in GSA (China NGDC), NOT ENA. Prior PRJEB29403 was a wrong text-mined accession (removed).		Alligator sinensis	CRA020375; CRA020376; CRA020377; CRA020378	https://doi.org/10.1002/ece3.71221	WangC2025_106	Contacted author			
	no accession / no ENA data	(Bufo MAGs)	2024													0			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12058643/		(see PMC12058643)							CNP0005874	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12058643/	BufoMAGs2024_141	Yes	toad	On CNG as CNP0005874	
	no accession / no ENA data	(Japan urchins)	2021													0			https://doi.org/10.3389/fmars.2021.802754	10.3389/fmars.2021.802754	Front Mar Sci							PRJDB12341	https://doi.org/10.3389/fmars.2021.802754	Japanurchins2021_157	Yes	urchins	Available at PRJDB12341, need wild samples	
	no accession / no ENA data	(SSD framework)	2025													0			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12856063/		(see PMC12856063)							public reanalysis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12856063/	SSDframework2025_136	No			
Y	no accession / no ENA data	slug														0												PRJEB21599	https://pmc.ncbi.nlm.nih.gov/articles/PMC5682323/	blackslug	Yes	slug	28 shotgun samples, 2017 so old but useful	
	no accession / no ENA data	(carbendazim earthworm)	2022													0			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9014604/		Environ Microbiome							PRJNA773059	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9014604/	carbendazimearthworm2022_155	Yes	earthworms	Need gut samples	
	no accession / no ENA data	(earthworm carbon cycle)	2025													0			https://www.sciencedirect.com/science/article/pii/S2667325825001347		(ScienceDirect)							NCBI (see paper)	https://www.sciencedirect.com/science/article/pii/S2667325825001347	earthwormcarboncycle2025_156	No accession	earthworms	Need gut samples	
	no accession / no ENA data	(land snails)														0			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10668521/									PRJNA764360	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10668521/	landsnailsNA_154	Yes	snails		
	no shotgun-gut reads (assembly/repo/16S)	(reef fish AEM)	2024							0						0			https://doi.org/10.1128/aem.02229-24	10.1128/aem.02229-24	Appl Environ Microbiol		OTHER_noWGS	no_read_run				PRJNA1112800	https://doi.org/10.1128/aem.02229-24	reeffishAEM2024_139	Yes	reef fish, wild but put in tanks and diets but still useful		
	no accession / no ENA data	(see PMC12341145)	2025													0			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12341145/		Animal Microbiome							NCBI (see paper)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12341145/	seePMC2025_138	Yes	salmon, farmed but usefu	need adults (post-smolt)	
	review: environmental/off-topic accession	(shrimp biofloc Sci Data)	2023							0		South Korea	Asia	ena		0	WGS:8		https://doi.org/10.1038/s41597-023-02622-0	10.1038/s41597-023-02622-0	Scientific Data		KEEP_has_WGS	environmental_offtopic	Resolved accession holds only rearing seawater; the shrimp (Litopenaeus vannamei) gut MAGs/reads are under a different accession — to find.			PRJNA967453; SRP436034	https://doi.org/10.1038/s41597-023-02622-0	shrimpbioflocSciData2023_149	No			
	no accession / no ENA data	(vent snail)	2022													0			https://doi.org/10.1186/s42523-021-00150-z	10.1186/s42523-021-00150-z	Animal Microbiome							NCBI (see paper)	https://doi.org/10.1186/s42523-021-00150-z	ventsnail2022_152	Yes	snail, hydrothermal vent	Need samples with "Intestine-Illumina-metaDNA" appended in Library Name	
	no accession / no ENA data	Bunker	2023													0			https://doi.org/10.1111/mec.17153	10.1111/mec.17153	Molecular Ecology							public reanalysis	https://doi.org/10.1111/mec.17153	Bunker2023_142	No			
	no accession / no ENA data	Callens/Cooper et al.	2020													0			https://doi.org/10.1038/s41598-019-57367-x	10.1038/s41598-019-57367-x	Scientific Reports							NCBI (see paper)	https://doi.org/10.1038/s41598-019-57367-x	CallensCooperetal2020_148	No			
	no accession / no ENA data	Ellegaard	2020													0			https://www.sciencedirect.com/science/article/pii/S0960982220305868		Current Biology							NCBI (see paper)	https://www.sciencedirect.com/science/article/pii/S0960982220305868	Ellegaard2020_146	No	duplicate		
	no accession / no ENA data	Engel/Moran	2012													0			https://doi.org/10.1073/pnas.1202970109	10.1073/pnas.1202970109	PNAS							NCBI (see paper)	https://doi.org/10.1073/pnas.1202970109	EngelMoran2012_145	No	duplicate		
	no accession / no ENA data	Fässler D	2026													0			https://doi.org/10.1016/j.bbi.2026.106587	10.1016/j.bbi.2026.106587	Brain Behav Immun	Bilophila wadsworthia is linked to basal ganglia atrophy in the general population.							https://doi.org/10.1016/j.bbi.2026.106587	FsslerD2026_125	No			
	EXCLUDE: isolate genomes	González D	2023							0						0			https://doi.org/10.3389/fmicb.2023.1238580	10.3389/fmicb.2023.1238580	Front Microbiol	Insights into early evolutionary adaptations of the Akkermansia genus to the vertebrate gut.	OTHER_noWGS	no_read_run	Isolate genomes (per Sam) — not a community metagenome.			PRJNA34667	https://doi.org/10.3389/fmicb.2023.1238580	GonzlezD2023_120	No			
	no accession / no ENA data	Gurbich	2023													0			https://www.ebi.ac.uk/metagenomics/		(MGnify-associated)							MGnify genome catalogue	https://www.ebi.ac.uk/metagenomics/	Gurbich2023_137	No			
	no accession / no ENA data	Gutiérrez J	2026													0			https://doi.org/10.1111/mec.70315	10.1111/mec.70315	Mol Ecol	Functional Shifts in the Gut DNA Virome in a Long-Distance Migratory Shorebird During the Pre-Migratory Fattening.						PRJNA1306318	https://doi.org/10.1111/mec.70315	GutirrezJ2026_124	Yes	shorebirds		
	no accession / no ENA data	He	2013													0			https://doi.org/10.1371/journal.pone.0061126	10.1371/journal.pone.0061126	PLOS ONE							NCBI (see paper)	https://doi.org/10.1371/journal.pone.0061126	He2013_144	No			
	no accession / no ENA data	Huang	2022													0			https://doi.org/10.1016/j.scitotenv.2022.156178	10.1016/j.scitotenv.2022.156178	Sci Total Environ							public reanalysis	https://doi.org/10.1016/j.scitotenv.2022.156178	Huang2022_135	No			
	no shotgun-gut reads (assembly/repo/16S)	Jones	2025							0		USA	North America	ena		0	WGS:1		https://doi.org/10.1128/mra.00457-25	10.1128/mra.00457-25	Microbiol Resour Announc		KEEP_has_WGS	other				PRJNA1117517	https://doi.org/10.1128/mra.00457-25	Jones2025_147	Yes	dung beetle	need female adult pedestal samples and female adult midgut samples in Experiment Title	
	no accession / no ENA data	Kim M	2022													0			https://doi.org/10.1038/s43705-022-00154-z	10.1038/s43705-022-00154-z	ISME Commun	Higher pathogen load in children from Mozambique vs. USA revealed by comparative fecal microbiome profiling.							https://doi.org/10.1038/s43705-022-00154-z	KimM2022_122	No			
	no accession / no ENA data	Levin D	2021													0			https://doi.org/10.1126/science.abb5352	10.1126/science.abb5352	Science	Diversity and functional landscapes in the microbiota of animals in the wild.							https://doi.org/10.1126/science.abb5352	LevinD2021_131	No	Levin study we have this already		
	no accession / no ENA data	Parizadeh M	2026													0			https://doi.org/10.1093/ismejo/wrag124	10.1093/ismejo/wrag124	ISME J	Impact of Maternal, Infant, and Household Factors on Early-life Gut Microbiome Development in a Rural Setting.							https://doi.org/10.1093/ismejo/wrag124	ParizadehM2026_127	No			
	no accession / no ENA data	Rabelo-Fernandez et al.	2019													0			https://doi.org/10.1101/560755	10.1101/560755	bioRxiv							PRJNA521026	https://doi.org/10.1101/560755	RabeloFernandezetal2019_151	Yes but nanopore	millipede	1 sample per host	
	no accession / no ENA data	Rochegüe T	2021													0			https://doi.org/10.3390/ani11113280	10.3390/ani11113280	Animals (Basel)	Impact of Antibiotic Therapies on Resistance Genes Dynamic and Composition of the Animal Gut Microbiota.							https://doi.org/10.3390/ani11113280	RochegeT2021_123	No			
	no accession / no ENA data	Scalvenzi	2021													0			https://doi.org/10.1101/2020.05.25.110734	10.1101/2020.05.25.110734	Animal Microbiome (bioRxiv 2020)							SAMEA3374583	https://doi.org/10.1101/2020.05.25.110734	Scalvenzi2021_140	Yes			
	no accession / no ENA data	Srinivasan VB	2025													0			https://doi.org/10.3390/antibiotics14070667	10.3390/antibiotics14070667	Antibiotics (Basel)	Genomic and Functional Characterization of Multidrug-Resistant E. coli: Insights into Resistome, Virulome, and Signaling Systems.							https://doi.org/10.3390/antibiotics14070667	SrinivasanVB2025_116	No			
	no accession / no ENA data	Sun Y	2026													0			https://doi.org/10.1111/1749-4877.70092	10.1111/1749-4877.70092	Integr Zool	Gut Microbiota of Gray Snub-Nosed Monkeys: Adaptation to Seasonal Variations Through Energy Compensation and Thermogenesis.							https://doi.org/10.1111/1749-4877.70092	SunY2026_126	No			
	no accession / no ENA data	Tepaamorndech	2020													0			https://www.sciencedirect.com/science/article/abs/pii/S1050464820306069		Fish Shellfish Immunol							NCBI (see paper)	https://www.sciencedirect.com/science/article/abs/pii/S1050464820306069	Tepaamorndech2020_150	No			
	no accession / no ENA data	Trinh P	2023													0			https://doi.org/10.1101/2023.05.10.540270	10.1101/2023.05.10.540270	bioRxiv	Differences in gut metagenomes between dairy workers and community controls: a cross-sectional study.							https://doi.org/10.1101/2023.05.10.540270	TrinhP2023_132	No			
	review: environmental/off-topic accession	Wang M	2026							0		China	Asia	paper+ena		0	AMPLICON:149; WGS:113		https://doi.org/10.3389/fmicb.2026.1771459	10.3389/fmicb.2026.1771459	Front Microbiol	Restaurant occupational exposure affects the profiles of oral and gut pathobiomes and resistomes.	KEEP_has_WGS	environmental_offtopic	Resolved accession is SOIL/environmental (wrong/cited); the marine medaka (Oryzias melastigma) gut shotgun data is under a different accession — to find.			PRJNA1202346; PRJNA1229199	https://doi.org/10.3389/fmicb.2026.1771459	WangM2026_112	No			
	no accession / no ENA data	Warnecke	2007													0			https://doi.org/10.1038/nature06269	10.1038/nature06269	Nature							NCBI (see paper)	https://doi.org/10.1038/nature06269	Warnecke2007_143	No			
	no accession / no ENA data	Xi M	2024													0			https://doi.org/10.3389/fmicb.2024.1356462	10.3389/fmicb.2024.1356462	Front Microbiol	Short-chain fatty acids in breast milk and their relationship with the infant gut microbiota.							https://doi.org/10.3389/fmicb.2024.1356462	XiM2024_118	No			
	no accession / no ENA data	Xu B	2024													0			https://doi.org/10.1038/s41522-024-00597-3	10.1038/s41522-024-00597-3	NPJ Biofilms Microbiomes	Large-scale metagenomic assembly provide new insights into the genetic evolution of gut microbiomes in plateau ungulates.						PRJCA024157	https://doi.org/10.1038/s41522-024-00597-3	XuB2024_119	Yes	ungulates	China database	
	no accession / no ENA data	Yadav P	2024													0			https://doi.org/10.1016/j.jenvman.2024.122342	10.1016/j.jenvman.2024.122342	J Environ Manage	Comparative assessment of microbiome and resistome of influent and effluent of sewage treatment plant and common effluent treatment plant located in Delhi, India using shotgun approach.							https://doi.org/10.1016/j.jenvman.2024.122342	YadavP2024_129	No			
	no accession / no ENA data	Deng X	2026		Actinopterygii											0			https://doi.org/10.1016/j.watres.2026.126133	10.1016/j.watres.2026.126133	Water Res	Metagenomic profiling of resistome and mobilome dynamics in diverse freshwater aquaculture modes.							https://doi.org/10.1016/j.watres.2026.126133	DengX2026_030	Yes but nanopore and DNBseq	freshwater aquculutre hosts, crayfish, carp	Gut samples and hosts are delinated in experiemnt run and run alias	
	no accession / no ENA data	Fang C	2025		Actinopterygii											0			https://doi.org/10.1016/j.envpol.2025.126288	10.1016/j.envpol.2025.126288	Environ Pollut	Polystyrene microplastics and cypermethrin exposure interfered the complexity of antibiotic resistance genes and induced metabolic dysfunction in the gut of adult zebrafish.							https://doi.org/10.1016/j.envpol.2025.126288	FangC2025_086	No			
	no accession / no ENA data	Guan Y	2022		Actinopterygii											0			https://doi.org/10.1016/j.jenvman.2022.115521	10.1016/j.jenvman.2022.115521	J Environ Manage	Metagenomic assembly and binning analyses the prevalence and spread of antibiotic resistome in water and fish gut microbiomes along an environmental gradient.						PRJNA751149	https://doi.org/10.1016/j.jenvman.2022.115521	GuanY2022_097	Yes	sharpbelly fish		
	no accession / no ENA data	Kayani MUR	2021		Actinopterygii											0			https://doi.org/10.1016/j.envpol.2021.116760	10.1016/j.envpol.2021.116760	Environ Pollut	Environmental concentrations of antibiotics alter the zebrafish gut microbiome structure and potential functions.							https://doi.org/10.1016/j.envpol.2021.116760	KayaniMUR2021_100	No			
	no accession / no ENA data	Khurana H	2020		Actinopterygii											0			https://doi.org/10.1186/s12866-020-01911-7	10.1186/s12866-020-01911-7	BMC Microbiol	Gut microbiome of endangered Tor putitora (Ham.) as a reservoir of antibiotic resistance genes and pathogens associated with fish health.						PRJEB30661	https://doi.org/10.1186/s12866-020-01911-7	KhuranaH2020_102	Yes	golden mahseer fish	pooled into 2 samples only but still want	
	no accession / no ENA data	Li M	2024		Actinopterygii											0			https://doi.org/10.1186/s40168-023-01715-7	10.1186/s40168-023-01715-7	Microbiome	Deciphering the gut microbiome of grass carp through multi-omics approach.						PRJNA945347	https://doi.org/10.1186/s40168-023-01715-7	LiM2024_032	Yes			
	no accession / no ENA data	Oliver A	2024		Actinopterygii											0			https://doi.org/10.1128/mbio.00496-24	10.1128/mbio.00496-24	mBio	Enrichable consortia of microbial symbionts degrade macroalgal polysaccharides in Kyphosus fish.							https://doi.org/10.1128/mbio.00496-24	OliverA2024_066	No			
	no accession / no ENA data	Ortega-Kindica RCMH	2024		Actinopterygii											0			https://doi.org/10.1007/s10126-024-10330-y	10.1007/s10126-024-10330-y	Mar Biotechnol (NY)	Shotgun Metagenomics Reveals Taxonomic and Functional Patterns of the Microbiome Associated with Barbour's Seahorse (Hippocampus barbouri).							https://doi.org/10.1007/s10126-024-10330-y	OrtegaKindicaRCMH2024_107	Asking authors			
	no accession / no ENA data	Rasmussen JA	2022		Actinopterygii											0			https://doi.org/10.1186/s40168-021-01221-8	10.1186/s40168-021-01221-8	Microbiome	A multi-omics approach unravels metagenomic and metabolic alterations of a probiotic and synbiotic additive in rainbow trout (Oncorhynchus mykiss).							https://doi.org/10.1186/s40168-021-01221-8	RasmussenJA2022_035	No	No accession		
	no accession / no ENA data	Rasmussen JA	2021		Actinopterygii											0			https://doi.org/10.1038/s42003-021-02105-1	10.1038/s42003-021-02105-1	Commun Biol	Genome-resolved metagenomics suggests a mutualistic relationship between Mycoplasma and salmonid hosts.						figshare:10.6084/m9.figshare.13019507; figshare:10.6084/m9.figshare.13019477	https://doi.org/10.1038/s42003-021-02105-1	RasmussenJA2021_039	No			
	no accession / no ENA data	Stevenson SJR	2022		Actinopterygii											0			https://doi.org/10.1016/j.cbpa.2022.111283	10.1016/j.cbpa.2022.111283	Comp Biochem Physiol A Mol Integr Physiol	Substrate degradation pathways, conserved functions and community composition of the hindgut microbiota in the herbivorous marine fish Kyphosus sydneyanus.							https://doi.org/10.1016/j.cbpa.2022.111283	StevensonSJR2022_098	No	No accession		
	no accession / no ENA data	Tyagi A	2019		Actinopterygii											0			https://doi.org/10.1007/s00203-018-1615-y	10.1007/s00203-018-1615-y	Arch Microbiol	Shotgun metagenomics offers novel insights into taxonomic compositions, metabolic pathways and antibiotic resistance genes in fish gut microbiome.							https://doi.org/10.1007/s00203-018-1615-y	TyagiA2019_104	No			
	no accession / no ENA data	Yang J	2025		Actinopterygii						Triplophysa yarkandensis, Schizothorax biddulphi, Diptychus maculatus					0			https://doi.org/10.3389/fmicb.2025.1617701	10.3389/fmicb.2025.1617701	Front Microbiol	Shotgun metagenomics analysis of gut microbiota of three indigenous fish species from the Kizil River, Xinjiang.						PRJNA1254096	https://doi.org/10.3389/fmicb.2025.1617701	YangJ2025_006	Yes	3 fish China	host species delinated in Sample Alias	
	no accession / no ENA data	da Silva S	2024		Actinopterygii						Serrasalmus rhombeus					0			https://doi.org/10.1038/s41598-024-72329-8	10.1038/s41598-024-72329-8	Sci Rep	The piranha gut microbiome provides a selective lens into river water biodiversity.						PRJNA1064611	https://doi.org/10.1038/s41598-024-72329-8	daSilvaS2024_067	Yes	Piranha	anal swabs delineated with "Swab" in Sample Title	
	no accession / no ENA data	Kang X	2025		Amphibia						Bufo gargarizans					0			https://doi.org/10.1002/ece3.71394	10.1002/ece3.71394	Ecol Evol	The Gut Microbiome of the Asiatic Toad (Bufo gargarizans) Reflects Environmental Changes and Human Activities.						CNP0005874	https://doi.org/10.1002/ece3.71394	KangX2025_060	Yes	Asian toad	China database	
	no accession / no ENA data	Wang H	2025		Amphibia						Andrias davidianus					0			https://doi.org/10.1111/1749-4877.12976	10.1111/1749-4877.12976	Integr Zool	Unexpected Microbial and Genetic Diversity in the Gut of Chinese Giant Salamander.						PRJNA1005433	https://doi.org/10.1111/1749-4877.12976	WangH2025_083	Yes	Giant salamander	See excel sheet for more details about specific sample accessions, also includes other animal metagenome accessions!	
											Manis javanica																	PRJNA476660			Yes	pangolin		
											Odorrana tormota																	PRJNA430993	https://pmc.ncbi.nlm.nih.gov/articles/PMC6562124/#mbo3749-sec-0002		Yes	Chinese concave‐eared frog		
											Balaenoptera acutorostrata, Physeter macrocephalus, Kogia breviceps, Ziphius cavirostris, Mesoplodon stejnegeri, Lagenorhynchus obliquidens, Phocoena phocoena, Phocoenoides dalli																	PRJDB20379	https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.71910		Yes	whales	host species and gut section delinated in Sample Title, we want "gut" and "colon" samples and not colon ink sac one	
											Physeter macrocephalus 																	SRR6192929			Yes	whale, 1 sample		
	no accession / no ENA data	Ye T	2024		Amphibia											0			https://doi.org/10.1016/j.aquatox.2024.106925	10.1016/j.aquatox.2024.106925	Aquat Toxicol	Metagenomic and transcriptomic analysis revealing the impact of oxytetracycline and ciprofloxacin on gut microbiota and gene expression in the Chinese giant salamander (Andrias davidianus).							https://doi.org/10.1016/j.aquatox.2024.106925	YeT2024_033	No	antibiotics		
	no accession / no ENA data	Lu Z	2026		Arachnida											0			https://doi.org/10.1038/s41522-026-00986-w	10.1038/s41522-026-00986-w	NPJ Biofilms Microbiomes	Tick-vectored mobilization of antibiotic resistance genes: transboundary dissemination across wildlife-livestock-vector-environment interfaces.							https://doi.org/10.1038/s41522-026-00986-w	LuZ2026_028	No			
	no accession / no ENA data	Cao J	2020		Aves											0			https://doi.org/10.1186/s40168-019-0781-8	10.1186/s40168-019-0781-8	Microbiome	Metagenomic analysis reveals the microbiome and resistome in migratory birds.							https://doi.org/10.1186/s40168-019-0781-8	CaoJ2020_004	No			
	EXCLUDE: isolate genomes	Le Doujet T	2024		Aves					0		United Kingdom	Europe	ena		0	WGS: 6		https://doi.org/10.3390/microorganisms12112204	10.3390/microorganisms12112204	Microorganisms	The Microbiota of the Outer Gut Mucus Layer of the Migrating Northeast Arctic Cod (Gadus morhua) as Determined by Shotgun DNA Sequencing.	KEEP_has_WGS	isolate_culture				PRJEB59225	https://doi.org/10.3390/microorganisms12112204	LeDoujetT2024_010	Yes	atlantic cod, and focused on mucus layer		
	no accession / no ENA data	Barman P	2025		Clitellata											0			https://doi.org/10.1016/j.scitotenv.2025.181101	10.1016/j.scitotenv.2025.181101	Sci Total Environ	Microbial-viral synergy in Eisenia fetida gut supports earthworm survival, detoxification, and functional resilience.							https://doi.org/10.1016/j.scitotenv.2025.181101	BarmanP2025_089	No			
	no accession / no ENA data	Du S	2024		Clitellata											0			https://doi.org/10.1021/acs.est.4c03812	10.1021/acs.est.4c03812	Environ Sci Technol	Viral Communities Suppress the Earthworm Gut Antibiotic Resistome by Lysing Bacteria on a National Scale.							https://doi.org/10.1021/acs.est.4c03812	DuS2024_093	No			
	no shotgun-gut reads (assembly/repo/16S)	Song J	2022		Clitellata					0						0			https://doi.org/10.1186/s40168-022-01261-8	10.1186/s40168-022-01261-8	Microbiome	Carbendazim shapes microbiome and enhances resistome in the earthworm gut.	OTHER_noWGS	no_read_run	Authors emailed for access — data not yet public (per Sam).			PRJNA773059	https://doi.org/10.1186/s40168-022-01261-8	SongJ2022_110	No	duplicate		
	no accession / no ENA data	Xia R	2023		Clitellata											0			https://doi.org/10.1038/s41396-023-01408-x	10.1038/s41396-023-01408-x	ISME J	Benzo[a]pyrene stress impacts adaptive strategies and ecological functions of earthworm intestinal viromes.					Metaphire guillelmi	PRJNA922612	https://doi.org/10.1038/s41396-023-01408-x	XiaR2023_095	Yes	earthworms	want samples with "metagenome" in sample alias	
	no accession / no ENA data	Zhang H	2025		Clitellata											0			https://doi.org/10.1016/j.envint.2025.109414	10.1016/j.envint.2025.109414	Environ Int	Polyvinyl chloride microplastic triggers bidirectional transmission of antibiotic resistance genes in soil-earthworm systems.							https://doi.org/10.1016/j.envint.2025.109414	ZhangH2025_084	No			
	no accession / no ENA data	Prusty G	2025		Gastropoda											0			https://doi.org/10.1007/s11274-025-04675-2	10.1007/s11274-025-04675-2	World J Microbiol Biotechnol	Integrative multi-omics characterization of the gut microbiome in Pila globosa: functional insights into nutrient cycling and detoxification potential.							https://doi.org/10.1007/s11274-025-04675-2	PrustyG2025_064	Contacted author			
	review: environmental/off-topic accession	Zhang Y	2025		Gastropoda					0		China	Asia	ena		0	WGS:115		https://doi.org/10.1186/s40168-025-02044-7	10.1186/s40168-025-02044-7	Microbiome	Soil warming increases the active antibiotic resistome in the gut of invasive giant African snails.	KEEP_has_WGS	environmental_offtopic				PRJNA432264; PRJNA648801	https://doi.org/10.1186/s40168-025-02044-7	ZhangY2025_049	Contacted author			
	no accession / no ENA data	Wang L	2025		Holothuroidea											0			https://doi.org/10.1016/j.foodchem.2025.144178	10.1016/j.foodchem.2025.144178	Food Chem	Gut bacteria and host metabolism: The keys to sea cucumber (Apostichopus japonicus) quality traits.							https://doi.org/10.1016/j.foodchem.2025.144178	WangL2025_085	No			
	no shotgun-gut reads (assembly/repo/16S)	(sea cucumber regen)	2020	Echinodermata	Holothuroidea	Dendrochirotida	Sclerodactylidae	Sclerodactyla		1	Sclerodactyla briareus(1)	USA	North America	ena	gut(1)	0	AMPLICON:1		https://doi.org/10.1128/aem.00489-20	10.1128/aem.00489-20	Appl Environ Microbiol		DROP_amplicon_16S	community_metagenome			Sclerodactyla briareus	SRP255421	https://doi.org/10.1128/aem.00489-20	seacucumberregen2020_158	No			
	no accession / no ENA data	Ansari MH	2026		Insecta											0			https://doi.org/10.1186/s42523-026-00585-2	10.1186/s42523-026-00585-2	Anim Microbiome	A diverse gut virome in natural populations of Drosophila melanogaster.					Drosophila melanogaster	PRJNA1097789	https://doi.org/10.1186/s42523-026-00585-2	AnsariMH2026_082	Yes	wild fruit fly		
	no accession / no ENA data	Bao GR	2026		Insecta											0			https://doi.org/10.1177/15303667251394200	10.1177/15303667251394200	Vector Borne Zoonotic Dis	Comparative Analysis of Gut Microbiota in Culex pipiens pallens and Culex tritaeniorhynchus from Four Regions in Chinese: Composition, Function, and Antibiotic Resistance.							https://doi.org/10.1177/15303667251394200	BaoGR2026_080	No			
