KEEP	status	first_author	year	host_phylum	host_class	host_order	host_family	host_genus	host_common_name	n_host_species	host_species_list	country	continent	country_source	body_sites	n_shotgun_gut_samples	library_strategy_mix		fulltext_link	doi	journal	title	shotgun_decision	isolate_assessment	manual_note		host_species	accessions	fulltext_link	study_uid	Sam_approve	reason	ENA_variable?	
Y	keep	Thormar EA	2024	Chordata	Actinopterygii	Cypriniformes	Danionidae	Danio	zebrafish	1	Danio rerio(16)	Denmark	Europe	ena	gut(10); feces(3)	15	AMPLICON:16; WGS:15		https://doi.org/10.1002/ece3.70302	10.1002/ece3.70302	Ecol Evol	Sampling fish gut microbiota - A genome-resolved metagenomic approach.	KEEP_has_WGS	community_metagenome	Real accession from Data Availability = PRJEB71469 (16 WGS + 16 amplicon, Danio rerio). The earlier PRJNA543612 was a different/cited 16S project.		Danio rerio	PRJEB71469	https://doi.org/10.1002/ece3.70302	ThormarEA2024_008	Yes	lab zebrafish	gut vs water and wgs vs 16S	
Y	keep	Le Doujet T	2019	Chordata	Actinopterygii	Gadiformes	Gadidae	Gadus	Atlantic cod	1	Gadus morhua(6)	Norway	Europe	paper+ena	feces(6)	6	WGS:6		https://doi.org/10.1186/s40168-019-0681-y	10.1186/s40168-019-0681-y	Microbiome	Closely-related Photobacterium strains comprise the majority of bacteria in the gut of migrating Atlantic cod (Gadus morhua).	KEEP_has_WGS	community_metagenome			Gadus morhua	PRJEB27498	https://doi.org/10.1186/s40168-019-0681-y	LeDoujetT2019_079	Yes	wild cod		
Y	keep	Facimoto CT	2024	Chordata	Actinopterygii	Centrarchiformes	Kyphosidae	Kyphosus	silver drummer	1	Kyphosus sydneyanus(39)	New Zealand	Oceania	ena	gut(39)	26	WGS:26; RNA-Seq:13		https://doi.org/10.1093/ismeco/ycae102	10.1093/ismeco/ycae102	ISME Commun	Bacteroidia and Clostridia are equipped to degrade a cascade of polysaccharides along the hindgut of the herbivorous fish Kyphosus sydneyanus.	KEEP_has_WGS	community_metagenome			Kyphosus sydneyanus	PRJNA1029302	https://doi.org/10.1093/ismeco/ycae102	FacimotoCT2024_108	Yes	wild Kyphosus	WGS might only work on NCBI	
Y	keep	Wang M	2023	Chordata	Actinopterygii	Beloniformes	Adrianichthyidae	Oryzias	Indian medaka	1	Oryzias melastigma(4)	China	Asia	ena	gut(3); feces(1)	4	WGS:4		https://doi.org/10.1016/j.marpolbul.2023.114966	10.1016/j.marpolbul.2023.114966	Mar Pollut Bull	Short-term exposure to enrofloxacin causes hepatic metabolism disorder associated with intestinal flora dysbiosis in adult marine medaka (Oryzias melastigma).	KEEP_has_WGS	community_metagenome	Marine medaka (Oryzias melastigma) gut; PRJNA876378 = 4 WGS intestinal/stool samples, China:Qingdao.		Oryzias melastigma	PRJNA876378	https://doi.org/10.1016/j.marpolbul.2023.114966	WangM2023_096	Yes	medeka	Need non antibiotic control group samples	
Y	keep	Wu (reef fish)		Chordata	Actinopterygii			Zebrasoma		1	Zebrasoma flavescens(1)	USA	North America	ena	gut(3)	3	AMPLICON:3		https://www.ebi.ac.uk/ena/browser/view/PRJNA1112800			Fish guts microbiome Metagenome (reef fish: yellow tang, triggerfish, hawkfish)	CHECK_amplicon_bigfiles	community_metagenome	User-added reef-fish gut shotgun (Yellow tang/Triggerfish/Hawkfish), ~5.3 Gbp/sample; ENA mislabels strategy=AMPLICON/selection=Hybrid Selection but it is shotgun-grade by size.		Paracirrhites arcatus, Zebrasoma flavescens, Rhinecanthus aculeatus	PRJNA1112800	https://www.ebi.ac.uk/ena/browser/view/PRJNA1112800	ReefFishGut_PRJNA1112800	Yes	reef fish, captive	Note sample title to delinate actual fish: T4LTN: Refers to the herbivorous yellow tang treatment group (the paper notes T4LTN, yellow tang in the tables). H1N1 / H1N2: Refers to the piscivorous hawkfish treatment group (noted as H1N1, hawkfish). Tr3LTN: Refers to the invertivorous triggerfish treatment group (noted as Tr3LTN, triggerfish).	
Y	keep	Aizpurua O	2026	Chordata	Amphibia					22	Podarcis muralis(161); Sciurus vulgaris(123); Sciurus carolinensis(118); Lissotriton helveticus(97); Psittacula echo(61); Podarcis gaigeae(61)	Spain	Europe	ena	feces(918); oral(13)	940	WGS:940		https://doi.org/10.1093/ismeco/ycag106	10.1093/ismeco/ycag106	ISME Commun	Beyond the core microbiome: endemic bacteria drive functional and microdiversity differences across salamander populations.	KEEP_has_WGS	community_metagenome			Calotriton asper	PRJEB76898	https://doi.org/10.1093/ismeco/ycag106	AizpuruaO2026_048	Yes	wild salamander	Need fecal and not swab	
Y	keep	Pimentel ZT	2021	Mollusca	Bivalvia					4	Crassostrea virginica(107); Mytilus edulis(13); Mercenaria mercenaria(3); Geukensia demissa(3)	USA	North America	ena	digestive_gland(22); gut(20); gill(19)	13	AMPLICON:236; WGS:13		https://doi.org/10.1128/msphere.00227-21	10.1128/msphere.00227-21	mSphere	Microbiome Analysis Reveals Diversity and Function of Mollicutes Associated with the Eastern Oyster, Crassostrea virginica.	KEEP_has_WGS	community_metagenome			Crassostrea virginica	PRJNA658576	https://doi.org/10.1128/msphere.00227-21	PimentelZT2021_025	Yes	oyster	Need gut samples	
Y	keep	Hakim JA	2021	Porifera	Demospongiae	Suberitida	Halichondriidae	Hymeniacidon		1	Hymeniacidon heliophila(2)	USA	North America	ena		1	AMPLICON:2		https://doi.org/10.3390/cimb43020070	10.3390/cimb43020070	Curr Issues Mol Biol	Microbial Composition and Genes for Key Metabolic Attributes in the Gut Digesta of Sea Urchins Lytechinus variegatus and Strongylocentrotus purpuratus Using Shotgun Metagenomics.	KEEP_has_WGS	community_metagenome			Lytechinus variegatus, Strongylocentrotus purpuratus 		https://doi.org/10.3390/cimb43020070	HakimJA2021_111	Contacted authors	urchins		
Y	keep	Nweze JE	2024	Arthropoda	Diplopoda					2	Epibolus pulchripes(27); Glomeris connexa(27)	Tanzania	Africa	ena	hindgut(46); feces(8)	2	AMPLICON:50; WGS:2; RNA-Seq:2		https://doi.org/10.1186/s40168-023-01731-7	10.1186/s40168-023-01731-7	Microbiome	Functional similarity, despite taxonomical divergence in the millipede gut microbiota, points to a common trophic strategy.	KEEP_has_WGS	community_metagenome			Epibolus pulchripes, Glomeris connexa 	PRJNA948469	https://doi.org/10.1186/s40168-023-01731-7	NwezeJE2024_128	Yes	millipedes	Host species delinated in Experiment Title	
Y	keep	O'Ferrall AM	2025	Mollusca	Gastropoda	Architaenioglossa				7	Bulinus sp.(7); Cleopatra sp.(2); Physella sp.(1); Pila sp.(1); Biomphalaria sp.(1); Lymnaea sp.(1)	Uganda	Africa	paper(Uganda)/ena(Malawi)	feces(15)	15	WGS:15		https://doi.org/10.1099/mgen.0.001480	10.1099/mgen.0.001480	Microb Genom	Freshwater snail faecal metagenomes reveal environmental reservoirs of antimicrobial resistance genes across two continents.	KEEP_has_WGS	community_metagenome			Anisus vortex, Anisus vorticulus, Biomphalaria glabrata, Biomphalaria pfeifferi, Biomphalaria straminea, Biomphalaria sudanica, Bulinus truncatus, Lanistes nyassanus, Lymnaea stagnalis, Physella acuta	PRJNA1211045	https://doi.org/10.1099/mgen.0.001480	OFerrallAM2025_044	Yes	snails	multiple host genera and 2 continents	Host genus delineated in Sample Title, but not host species, Location delineated Experiment Alias where the letter codes correspond to: Malawi, Uganda, United Kingdom, Tanzania (Zanzibar)
Y	keep	(sea cucumber PHB)	2016	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Japanese sea cucumber	1	Apostichopus japonicus(22)	Japan	Asia	ena	feces(22)	2	AMPLICON:21; WGS:2		https://doi.org/10.1038/srep21631	10.1038/srep21631	Scientific Reports		KEEP_has_WGS	community_metagenome			Apostichopus japonicus	PRJDB4366	https://doi.org/10.1038/srep21631	seacucumberPHB2016_159	Yes	sea cucumber, lab	need gut samples and need shotugn	
Y	keep	Bonilla-Rosso G	2020	Arthropoda	Insecta	Hymenoptera	Apidae	Apis		2	Apis mellifera(76); Apis cerana(20)	Switzerland	Europe	ena	gut(94); hindgut(2)	96	WGS:96		https://doi.org/10.1073/pnas.2000228117	10.1073/pnas.2000228117	Proc Natl Acad Sci U S A	Honey bees harbor a diverse gut virome engaging in nested strain-level interactions with the microbiota.	KEEP_has_WGS	community_metagenome			Apis mellifera	PRJNA473901; PRJNA598094	https://doi.org/10.1073/pnas.2000228117	BonillaRossoG2020_077	Yes	bees	need both accesions, one from japan one from alps	
Y	keep	Comeault AA	2025	Arthropoda	Insecta	Diptera	Drosophilidae			6	Drosophila immigrans(14); Drosophila hydei(11); Zaprionus indianus(5); Drosophila repleta(5); Zaprionus tsacasi(1); Zaprionus taronus(1)	USA	North America	ena		37	WGS:37		https://doi.org/10.1128/msystems.00027-25	10.1128/msystems.00027-25	mSystems	Phylogenetic and functional diversity among Drosophila-associated metagenome-assembled genomes.	KEEP_has_WGS	community_metagenome	WGS Oxford Nanopore; Drosophila/Zaprionus gut. Replaces GCA.		Drosophila melanogaster	PRJNA1188364	https://doi.org/10.1128/msystems.00027-25	ComeaultAA2025_062	Yes but nanopore	fruit fly multiple continents	MiniIon need to delineate this. Flag so we can see this	
Y	keep	Ellegaard KM	2020	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	honey bee	2	Apis mellifera(20); Apis cerana(20)	Japan	Asia	ena	gut(40)	40	WGS:40		https://doi.org/10.1016/j.cub.2020.04.070	10.1016/j.cub.2020.04.070	Curr Biol	Vast Differences in Strain-Level Diversity in the Gut Microbiota of Two Closely Related Honey Bee Species.	KEEP_has_WGS	community_metagenome			Apis cerana, Apis mellifera	PRJNA598094	https://doi.org/10.1016/j.cub.2020.04.070	EllegaardKM2020_015	Yes	bees	need shotgun samples as they also did long-read sequencing	
Y	keep	Gutiérrez-García K	2023	Arthropoda	Insecta					3	Pharaxonotha floridana(2); Eumaeus atala(2); Rhopalotria slossonae(1)	USA	North America	ena		5	WGS:5		https://doi.org/10.1038/s43705-023-00323-8	10.1038/s43705-023-00323-8	ISME Commun	Gut microbiomes of cycad-feeding insects tolerant to β-methylamino-L-alanine (BMAA) are rich in siderophore biosynthesis.	KEEP_has_WGS	community_metagenome			Eumaeus atala, Seirarctia echo, Zerenopsis lepida, Luthrodes pandava, Rhopalotria slossoni, Pharaxanotha floridana, Rhopalotria furfuracea, Eubulus sp., Tychiodes sp., Cycadothrips chadwicki	PRJNA961367	https://doi.org/10.1038/s43705-023-00323-8	GutirrezGarcaK2023_053	Yes but cultured	12 species of insects across 3 orders (cyad eating insects)	host delineated in sample alias, Note that these are co-cultured samples	
Y	keep	IJdema F	2025	Arthropoda	Insecta					2	Hermetia illucens(102); Tenebrio molitor(30)	Belgium	Europe	ena	gut(12)	12	AMPLICON:120; WGS:12		https://doi.org/10.1186/s12866-025-04327-3	10.1186/s12866-025-04327-3	BMC Microbiol	Metagenome-based identification of functional traits of the black soldier fly gut microbiome associated with larval performance.	KEEP_has_WGS	community_metagenome	Real accession from Data Availability = PRJEB81711 (12 WGS, Hermetia illucens + Tenebrio molitor; +120 amplicon). Earlier PRJNA674583 was a cited BSF 16S project.		Hermetia illucens	PRJEB81711	https://doi.org/10.1186/s12866-025-04327-3	IJdemaF2025_041	Yes but larval	larval soldier fly		
Y	keep	Lang H	2023	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	honey bee	2	Apis mellifera(20); Apis cerana(20)	Japan	Asia	ena	gut(40)	40	WGS:40		https://doi.org/10.1038/s41467-023-43352-6	10.1038/s41467-023-43352-6	Nat Commun	Identification of peptides from honeybee gut symbionts as potential antimicrobial agents against Melissococcus plutonius.	KEEP_has_WGS	community_metagenome	WGS bee gut metagenomes (Apis cerana/mellifera, Bombus terrestris); from Suppl Data 5. Replaces GCA.			PRJNA598094	https://doi.org/10.1038/s41467-023-43352-6	LangH2023_022	No	duplicate, already have the previous honeybee study PRJNA598094 		
Y	keep	Mies US	2024	Arthropoda	Insecta	Blattodea				45	Glyptotermes sp.(3); Crepititermes verruculosus(1); Dicuspiditermes spinitibialis(1); Spinitermes trispinosus(1); Roisinitermes ebogoensis(1); Porotermes quadricollis(1)	Cameroon	Africa	ena	gut(48)	48	WGS:48		https://doi.org/10.1128/mbio.00826-24	10.1128/mbio.00826-24	mBio	Genome reduction and horizontal gene transfer in the evolution of Endomicrobia-rise and fall of an intracellular symbiosis with termite gut flagellates.	KEEP_has_WGS	community_metagenome			Endomicrobium proavitum, Endomicrobium embiratermitis, Endomicrobium labiotermitis, Endomicrobium macrotermitis, Endomicrobium neocapritermitis, Endomicrobium procryptotermitis, Endomicrobiellum trichonymphae, Endomicrobiellum agilis, Endomicrobiellum africanum, Endomicrobiellum basalitermitum, Endomicrobiellum devescovinae, Endomicrobiellum calonymphae, Endomicrobiellum cryptotermitis, Endomicrobiellum cubanum, Endomicrobiellum dinenymphae, Endomicrobiellum glyptotermitis, Endomicrobiellum guadaloupense, Endomicrobiellum incisitermitis, Endomicrobiellum mastotermitis, Endomicrobiellum meruensis, Endomicrobiellum neotermitis, Endomicrobiellum porotermitis, Endomicrobiellum pyrsonymphae, Endomicrobiellum roisinitermitis, Endomicrobiellum siamense, Parendomicrobium reticulitermitis, Parendomicrobium porotermitis, Ectomicrobium neotermitis, Proendomicrobium guianensium, Ruminimicrobium bovinum, Ruminimicrobiellum bubulum, Ruminimicrobiellum ovillum, Ruminimicrobiellum caprinum, Ruminimicrobiellum tauri, Praeruminimicrobium purgamenti, Proruminimicrobium quisquiliarum	PRJNA732531	https://doi.org/10.1128/mbio.00826-24	MiesUS2024_091	Yes	termites	there are bioreactor v full samples and wild vs lab, 48 host species, host species is listed in Experiment Title, we honestly want all the samples here since its 48 hosts	
Y	keep	Protasov E	2023	Chordata	Insecta					181	Anser anser(14); Cervus elaphus(12); Canis lupus(10); Sus scrofa(9); Giraffa camelopardalis(8); Equus hemionus(8)	Austria	Europe	ena	feces(411); gut(61)	283	WGS:289; AMPLICON:185		https://doi.org/10.3389/fmicb.2023.1281628	10.3389/fmicb.2023.1281628	Front Microbiol	Diversity and taxonomic revision of methanogens and other archaea in the intestinal tract of terrestrial arthropods.	KEEP_has_WGS	community_metagenome				PRJEB38078; PRJEB40672	https://doi.org/10.3389/fmicb.2023.1281628	ProtasovE2023_013	No			
Y	keep	Silva JK	2025	Arthropoda	Insecta	Blattodea				45	Glyptotermes sp.(3); Crepititermes verruculosus(1); Dicuspiditermes spinitibialis(1); Spinitermes trispinosus(1); Roisinitermes ebogoensis(1); Porotermes quadricollis(1)	Cameroon	Africa	ena	gut(48)	48	WGS:48		https://doi.org/10.1111/1462-2920.70010	10.1111/1462-2920.70010	Environ Microbiol	A Novel Lineage of Endosymbiotic Actinomycetales: Genome Reduction and Acquisition of New Functions in Bifidobacteriaceae Associated With Termite Gut Flagellates.	KEEP_has_WGS	community_metagenome	WGS termite hindgut metagenomes (Mies et al. 2024 source; 15+ termite spp.); from Table S1. Replaces GCA.			PRJNA732531	https://doi.org/10.1111/1462-2920.70010	SilvaJK2025_059	No	scale insects but WHOLE insects so note this	2 hos species	
Y	keep	Wu Y	2022	Arthropoda	Insecta				insects	0		China	Asia	paper+ena	hindgut(52)	52	WGS:52		https://doi.org/10.1016/j.jare.2021.08.002	10.1016/j.jare.2021.08.002	J Adv Res	Genetic divergence and functional convergence of gut bacteria between the Eastern honey bee Apis cerana and the Western honey bee Apis mellifera.	KEEP_has_WGS	community_metagenome			Apis mellifera, Apis cerana	PRJNA599289	https://doi.org/10.1016/j.jare.2021.08.002	WuY2022_036	Yes	bees	need shotgun samples	
Y	keep	Ellegaard KM	2019	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Carniolan honeybee	1	Apis mellifera(54)	Switzerland	Europe	ena	gut(54)	54	WGS:54		https://doi.org/10.1038/s41467-019-08303-0	10.1038/s41467-019-08303-0	Nat Commun	Genomic diversity landscape of the honey bee gut microbiota.	KEEP_has_WGS	community_metagenome			Apis mellifera	SRP150166	https://doi.org/10.1038/s41467-019-08303-0	EllegaardKM2019_056	No	duplicate		
Y	keep	Wu J	2021	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	honey bee	1	Apis mellifera(125)	China	Asia	ena	gut(125)	125	WGS:125		https://doi.org/10.1186/s40168-021-01174-y	10.1186/s40168-021-01174-y	Microbiome	Honey bee genetics shape the strain-level structure of gut microbiota in social transmission.	KEEP_has_WGS	community_metagenome	Real metagenome accession from Data Availability = PRJNA645015 (125 WGS Apis mellifera gut). GCA was assembly; PRJNA648267=isolates, PRJNA645267=16S, PRJNA735887=brain RNA (excluded).		Apis mellifera	PRJNA645015	https://doi.org/10.1186/s40168-021-01174-y	WuJ2021_075	Yes	bees		
